region,sector,period,date,indicator,unit,observed,trend,seasonal,expected,residual_pp,severity
浙江,第三产业,2015Q4,2015-12-01,累计增加值同比增速,%,11.3,10.6239,0.2445,10.8683,0.4317,normal
浙江,第三产业,2016Q1,2016-03-01,累计增加值同比增速,%,9.5,10.2114,-0.1188,10.0926,-0.5926,normal
浙江,第三产业,2016Q2,2016-06-01,累计增加值同比增速,%,9.7,9.8099,0.0949,9.9048,-0.2048,normal
浙江,第三产业,2016Q3,2016-09-01,累计增加值同比增速,%,9.2,9.598,-0.1186,9.4794,-0.2794,normal
浙江,第三产业,2016Q4,2016-12-01,累计增加值同比增速,%,9.4,9.5633,0.1222,9.6856,-0.2856,normal
浙江,第三产业,2017Q1,2017-03-01,累计增加值同比增速,%,10.0,9.518,-0.1107,9.4073,0.5927,normal
浙江,第三产业,2017Q2,2017-06-01,累计增加值同比增速,%,9.8,9.3985,0.0604,9.4589,0.3411,normal
浙江,第三产业,2017Q3,2017-09-01,累计增加值同比增速,%,9.3,9.1677,0.0551,9.2228,0.0772,normal
浙江,第三产业,2017Q4,2017-12-01,累计增加值同比增速,%,8.8,8.8282,0.0215,8.8497,-0.0497,normal
浙江,第三产业,2018Q1,2018-03-01,累计增加值同比增速,%,8.1,8.4622,0.1083,8.5706,-0.4706,normal
浙江,第三产业,2018Q2,2018-06-01,累计增加值同比增速,%,8.1,8.1563,-0.4847,7.6716,0.4284,normal
浙江,第三产业,2018Q3,2018-09-01,累计增加值同比增速,%,8.0,7.9111,0.4886,8.3997,-0.3997,normal
浙江,第三产业,2018Q4,2018-12-01,累计增加值同比增速,%,7.8,7.6575,-0.0869,7.5706,0.2294,normal
浙江,第三产业,2019Q1,2019-03-01,累计增加值同比增速,%,7.8,7.3433,0.3862,7.7295,0.0705,normal
浙江,第三产业,2019Q2,2019-06-01,累计增加值同比增速,%,8.3,7.0179,-1.3092,5.7087,2.5913,normal
浙江,第三产业,2019Q3,2019-09-01,累计增加值同比增速,%,7.6,6.529,0.9845,7.5135,0.0865,normal
浙江,第三产业,2019Q4,2019-12-01,累计增加值同比增速,%,7.8,6.0195,-0.319,5.7005,2.0995,normal
浙江,第三产业,2020Q1,2020-03-01,累计增加值同比增速,%,-1.5,5.5445,1.4068,6.9513,-8.4513,strong
浙江,第三产业,2020Q2,2020-06-01,累计增加值同比增速,%,2.5,5.0953,-2.4214,2.6739,-0.1739,normal
浙江,第三产业,2020Q3,2020-09-01,累计增加值同比增速,%,3.4,4.7252,1.5775,6.3027,-2.9027,normal
浙江,第三产业,2020Q4,2020-12-01,累计增加值同比增速,%,4.1,5.1856,-0.429,4.7566,-0.6566,normal
浙江,第三产业,2021Q1,2021-03-01,累计增加值同比增速,%,15.4,5.7729,0.8858,6.6586,8.7414,strong
浙江,第三产业,2021Q2,2021-06-01,累计增加值同比增速,%,11.5,6.3898,-2.4126,3.9772,7.5228,strong
浙江,第三产业,2021Q3,2021-09-01,累计增加值同比增速,%,9.1,7.3442,1.8757,9.2199,-0.1199,normal
浙江,第三产业,2021Q4,2021-12-01,累计增加值同比增速,%,7.6,8.4468,-0.8468,7.6,0.0,normal
浙江,第三产业,2022Q1,2022-03-01,累计增加值同比增速,%,3.5,6.7492,1.2858,8.0351,-4.5351,watch
浙江,第三产业,2022Q2,2022-06-01,累计增加值同比增速,%,1.5,6.083,-1.3988,4.6842,-3.1842,watch
浙江,第三产业,2022Q3,2022-09-01,累计增加值同比增速,%,2.3,5.3873,1.0235,6.4107,-4.1107,watch
浙江,第三产业,2022Q4,2022-12-01,累计增加值同比增速,%,2.8,3.5444,-0.7221,2.8223,-0.0223,normal
浙江,第三产业,2023Q1,2023-03-01,累计增加值同比增速,%,6.4,5.51,0.786,6.296,0.104,normal
浙江,第三产业,2023Q2,2023-06-01,累计增加值同比增速,%,8.4,5.0691,-0.7922,4.277,4.123,watch
浙江,第三产业,2023Q3,2023-09-01,累计增加值同比增速,%,7.3,5.1277,0.6072,5.7349,1.5651,normal
浙江,第三产业,2023Q4,2023-12-01,累计增加值同比增速,%,6.7,5.2641,-0.5455,4.7187,1.9813,normal
浙江,第三产业,2024Q1,2024-03-01,累计增加值同比增速,%,5.5,5.0982,0.4601,5.5583,-0.0583,normal
浙江,第三产业,2024Q2,2024-06-01,累计增加值同比增速,%,5.0,5.0668,-0.196,4.8708,0.1292,normal
浙江,第三产业,2024Q3,2024-09-01,累计增加值同比增速,%,4.8,5.1846,0.1734,5.358,-0.558,normal
浙江,第三产业,2024Q4,2024-12-01,累计增加值同比增速,%,5.1,5.3333,-0.378,4.9553,0.1447,normal
浙江,第三产业,2025Q1,2025-03-01,累计增加值同比增速,%,5.7,5.5468,0.1419,5.6887,0.0113,normal
浙江,第三产业,2025Q2,2025-06-01,累计增加值同比增速,%,6.0,5.7505,0.3728,6.1233,-0.1233,normal
浙江,第三产业,2025Q3,2025-09-01,累计增加值同比增速,%,6.0,5.9565,-0.2465,5.7101,0.2899,normal
浙江,第三产业,2025Q4,2025-12-01,累计增加值同比增速,%,5.8,6.1649,-0.2059,5.959,-0.159,normal
