id,label,name,category,description,unit,frequency,source_id,quality_flag,notes
period-2021-08,Period,2021-08,Month,2021-08-01所在自然月,,month,,active,
period-2021-09,Period,2021-09,Month,2021-09-01所在自然月,,month,,active,
period-2021-10,Period,2021-10,Month,2021-10-01所在自然月,,month,,active,
period-2021-11,Period,2021-11,Month,2021-11-01所在自然月,,month,,active,
period-2021-12,Period,2021-12,Month,2021-12-01所在自然月,,month,,active,
period-2022-01,Period,2022-01,Month,2022-01-01所在自然月,,month,,active,
period-2022-02,Period,2022-02,Month,2022-02-01所在自然月,,month,,active,
period-2022-03,Period,2022-03,Month,2022-03-01所在自然月,,month,,active,
period-2022-04,Period,2022-04,Month,2022-04-01所在自然月,,month,,active,
period-2022-05,Period,2022-05,Month,2022-05-01所在自然月,,month,,active,
period-2022-06,Period,2022-06,Month,2022-06-01所在自然月,,month,,active,
period-2022-07,Period,2022-07,Month,2022-07-01所在自然月,,month,,active,
period-2022-08,Period,2022-08,Month,2022-08-01所在自然月,,month,,active,
period-2022-09,Period,2022-09,Month,2022-09-01所在自然月,,month,,active,
period-2022-10,Period,2022-10,Month,2022-10-01所在自然月,,month,,active,
period-2022-11,Period,2022-11,Month,2022-11-01所在自然月,,month,,active,
period-2022-12,Period,2022-12,Month,2022-12-01所在自然月,,month,,active,
period-2023-01,Period,2023-01,Month,2023-01-01所在自然月,,month,,active,
period-2023-02,Period,2023-02,Month,2023-02-01所在自然月,,month,,active,
period-2023-03,Period,2023-03,Month,2023-03-01所在自然月,,month,,active,
period-2023-04,Period,2023-04,Month,2023-04-01所在自然月,,month,,active,
period-2023-05,Period,2023-05,Month,2023-05-01所在自然月,,month,,active,
period-2023-06,Period,2023-06,Month,2023-06-01所在自然月,,month,,active,
period-2023-07,Period,2023-07,Month,2023-07-01所在自然月,,month,,active,
period-2023-08,Period,2023-08,Month,2023-08-01所在自然月,,month,,active,
period-2023-09,Period,2023-09,Month,2023-09-01所在自然月,,month,,active,
period-2023-10,Period,2023-10,Month,2023-10-01所在自然月,,month,,active,
period-2023-11,Period,2023-11,Month,2023-11-01所在自然月,,month,,active,
period-2023-12,Period,2023-12,Month,2023-12-01所在自然月,,month,,active,
period-2024-01,Period,2024-01,Month,2024-01-01所在自然月,,month,,active,
period-2024-02,Period,2024-02,Month,2024-02-01所在自然月,,month,,active,
period-2024-03,Period,2024-03,Month,2024-03-01所在自然月,,month,,active,
period-2024-04,Period,2024-04,Month,2024-04-01所在自然月,,month,,active,
period-2024-05,Period,2024-05,Month,2024-05-01所在自然月,,month,,active,
period-2024-06,Period,2024-06,Month,2024-06-01所在自然月,,month,,active,
period-2024-07,Period,2024-07,Month,2024-07-01所在自然月,,month,,active,
period-2024-08,Period,2024-08,Month,2024-08-01所在自然月,,month,,active,
period-2024-09,Period,2024-09,Month,2024-09-01所在自然月,,month,,active,
period-2024-10,Period,2024-10,Month,2024-10-01所在自然月,,month,,active,
period-2024-11,Period,2024-11,Month,2024-11-01所在自然月,,month,,active,
period-2024-12,Period,2024-12,Month,2024-12-01所在自然月,,month,,active,
period-2025-01,Period,2025-01,Month,2025-01-01所在自然月,,month,,active,
period-2025-02,Period,2025-02,Month,2025-02-01所在自然月,,month,,active,
period-2025-03,Period,2025-03,Month,2025-03-01所在自然月,,month,,active,
period-2025-04,Period,2025-04,Month,2025-04-01所在自然月,,month,,active,
period-2025-05,Period,2025-05,Month,2025-05-01所在自然月,,month,,active,
period-2025-06,Period,2025-06,Month,2025-06-01所在自然月,,month,,active,
period-2025-07,Period,2025-07,Month,2025-07-01所在自然月,,month,,active,
period-2025-08,Period,2025-08,Month,2025-08-01所在自然月,,month,,active,
period-2025-09,Period,2025-09,Month,2025-09-01所在自然月,,month,,active,
period-2025-10,Period,2025-10,Month,2025-10-01所在自然月,,month,,active,
period-2025-11,Period,2025-11,Month,2025-11-01所在自然月,,month,,active,
period-2025-12,Period,2025-12,Month,2025-12-01所在自然月,,month,,active,
period-1997-Q1,Period,1997-Q1,Quarter,季度累计统计期,,quarter,,active,
period-1997-Q2,Period,1997-Q2,Quarter,季度累计统计期,,quarter,,active,
period-1997-Q3,Period,1997-Q3,Quarter,季度累计统计期,,quarter,,active,
period-1997-Q4,Period,1997-Q4,Quarter,季度累计统计期,,quarter,,active,
period-1998-Q1,Period,1998-Q1,Quarter,季度累计统计期,,quarter,,active,
period-1998-Q2,Period,1998-Q2,Quarter,季度累计统计期,,quarter,,active,
period-1998-Q3,Period,1998-Q3,Quarter,季度累计统计期,,quarter,,active,
period-1998-Q4,Period,1998-Q4,Quarter,季度累计统计期,,quarter,,active,
period-1999-Q1,Period,1999-Q1,Quarter,季度累计统计期,,quarter,,active,
period-1999-Q2,Period,1999-Q2,Quarter,季度累计统计期,,quarter,,active,
period-1999-Q3,Period,1999-Q3,Quarter,季度累计统计期,,quarter,,active,
period-1999-Q4,Period,1999-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2000-Q1,Period,2000-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2000-Q2,Period,2000-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2000-Q3,Period,2000-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2000-Q4,Period,2000-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2001-Q1,Period,2001-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2001-Q2,Period,2001-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2001-Q3,Period,2001-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2001-Q4,Period,2001-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2002-Q1,Period,2002-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2002-Q2,Period,2002-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2002-Q3,Period,2002-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2002-Q4,Period,2002-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2003-Q1,Period,2003-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2003-Q2,Period,2003-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2003-Q3,Period,2003-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2003-Q4,Period,2003-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2004-Q1,Period,2004-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2004-Q2,Period,2004-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2004-Q3,Period,2004-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2004-Q4,Period,2004-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2005-Q1,Period,2005-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2005-Q2,Period,2005-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2005-Q3,Period,2005-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2005-Q4,Period,2005-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2006-Q1,Period,2006-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2006-Q2,Period,2006-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2006-Q3,Period,2006-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2006-Q4,Period,2006-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2007-Q1,Period,2007-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2007-Q2,Period,2007-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2007-Q3,Period,2007-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2007-Q4,Period,2007-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2008-Q1,Period,2008-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2008-Q2,Period,2008-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2008-Q3,Period,2008-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2008-Q4,Period,2008-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2009-Q1,Period,2009-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2009-Q2,Period,2009-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2009-Q3,Period,2009-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2009-Q4,Period,2009-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2010-Q1,Period,2010-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2010-Q2,Period,2010-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2010-Q3,Period,2010-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2010-Q4,Period,2010-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2011-Q1,Period,2011-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2011-Q2,Period,2011-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2011-Q3,Period,2011-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2011-Q4,Period,2011-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2012-Q1,Period,2012-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2012-Q2,Period,2012-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2012-Q3,Period,2012-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2012-Q4,Period,2012-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2013-Q1,Period,2013-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2013-Q2,Period,2013-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2013-Q3,Period,2013-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2013-Q4,Period,2013-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2014-Q1,Period,2014-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2014-Q2,Period,2014-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2014-Q3,Period,2014-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2014-Q4,Period,2014-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2015-Q1,Period,2015-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2015-Q2,Period,2015-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2015-Q3,Period,2015-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2015-Q4,Period,2015-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2016-Q1,Period,2016-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2016-Q2,Period,2016-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2016-Q3,Period,2016-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2016-Q4,Period,2016-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2017-Q1,Period,2017-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2017-Q2,Period,2017-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2017-Q3,Period,2017-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2017-Q4,Period,2017-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2018-Q1,Period,2018-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2018-Q2,Period,2018-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2018-Q3,Period,2018-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2018-Q4,Period,2018-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2019-Q1,Period,2019-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2019-Q2,Period,2019-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2019-Q3,Period,2019-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2019-Q4,Period,2019-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2020-Q1,Period,2020-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2020-Q2,Period,2020-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2020-Q3,Period,2020-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2020-Q4,Period,2020-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2021-Q1,Period,2021-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2021-Q2,Period,2021-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2021-Q3,Period,2021-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2021-Q4,Period,2021-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2022-Q1,Period,2022-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2022-Q2,Period,2022-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2022-Q3,Period,2022-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2022-Q4,Period,2022-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2023-Q1,Period,2023-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2023-Q2,Period,2023-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2023-Q3,Period,2023-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2023-Q4,Period,2023-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2024-Q1,Period,2024-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2024-Q2,Period,2024-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2024-Q3,Period,2024-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2024-Q4,Period,2024-Q4,Quarter,季度累计统计期,,quarter,,active,
period-2025-Q1,Period,2025-Q1,Quarter,季度累计统计期,,quarter,,active,
period-2025-Q2,Period,2025-Q2,Quarter,季度累计统计期,,quarter,,active,
period-2025-Q3,Period,2025-Q3,Quarter,季度累计统计期,,quarter,,active,
period-2025-Q4,Period,2025-Q4,Quarter,季度累计统计期,,quarter,,active,
event-2021-new-year,Event,2021年元旦,HolidayBreak,2021-01-01至2021-01-03,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-spring-festival,Event,2021年春节,HolidayBreak,2021-02-11至2021-02-17,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-qingming,Event,2021年清明节,HolidayBreak,2021-04-03至2021-04-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-labor,Event,2021年劳动节,HolidayBreak,2021-05-01至2021-05-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-dragon-boat,Event,2021年端午节,HolidayBreak,2021-06-12至2021-06-14,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-mid-autumn,Event,2021年中秋节,HolidayBreak,2021-09-19至2021-09-21,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2021-national,Event,2021年国庆节,HolidayBreak,2021-10-01至2021-10-07,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-new-year,Event,2022年元旦,HolidayBreak,2022-01-01至2022-01-03,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-spring-festival,Event,2022年春节,HolidayBreak,2022-01-31至2022-02-06,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-qingming,Event,2022年清明节,HolidayBreak,2022-04-03至2022-04-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-labor,Event,2022年劳动节,HolidayBreak,2022-04-30至2022-05-04,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-dragon-boat,Event,2022年端午节,HolidayBreak,2022-06-03至2022-06-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-mid-autumn,Event,2022年中秋节,HolidayBreak,2022-09-10至2022-09-12,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2022-national,Event,2022年国庆节,HolidayBreak,2022-10-01至2022-10-07,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-new-year,Event,2022年元旦,HolidayBreak,2022-12-31至2023-01-02,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-spring-festival,Event,2023年春节,HolidayBreak,2023-01-21至2023-01-27,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-qingming,Event,2023年清明节,HolidayBreak,2023-04-05至2023-04-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-labor,Event,2023年劳动节,HolidayBreak,2023-04-29至2023-05-03,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-dragon-boat,Event,2023年端午节,HolidayBreak,2023-06-22至2023-06-24,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2023-mid-autumn-national,Event,2023年中秋节、国庆节,HolidayBreak,2023-09-29至2023-10-06,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-new-year,Event,2024年元旦,HolidayBreak,2024-01-01至2024-01-01,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-spring-festival,Event,2024年春节,HolidayBreak,2024-02-10至2024-02-17,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-qingming,Event,2024年清明节,HolidayBreak,2024-04-04至2024-04-06,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-labor,Event,2024年劳动节,HolidayBreak,2024-05-01至2024-05-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-dragon-boat,Event,2024年端午节,HolidayBreak,2024-06-08至2024-06-10,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-mid-autumn,Event,2024年中秋节,HolidayBreak,2024-09-15至2024-09-17,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2024-national,Event,2024年国庆节,HolidayBreak,2024-10-01至2024-10-07,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-new-year,Event,2025年元旦,HolidayBreak,2025-01-01至2025-01-01,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-spring-festival,Event,2025年春节,HolidayBreak,2025-01-28至2025-02-04,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-qingming,Event,2025年清明节,HolidayBreak,2025-04-04至2025-04-06,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-labor,Event,2025年劳动节,HolidayBreak,2025-05-01至2025-05-05,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-dragon-boat,Event,2025年端午节,HolidayBreak,2025-05-31至2025-06-02,,event,source-holiday-docx,extracted,国务院放假安排连休区间
event-2025-national-mid-autumn,Event,2025年国庆节、中秋节,HolidayBreak,2025-10-01至2025-10-08,,event,source-holiday-docx,extracted,国务院放假安排连休区间
