date,policy_event,event_name,is_holiday,is_workday_override
2023-09-16,0,,1,0
2023-09-17,0,,1,0
2023-09-23,0,,1,0
2023-09-24,0,,1,0
2023-09-30,0,,1,0
2023-10-01,0,,1,0
2023-10-07,0,,1,0
2023-10-08,0,,1,0
2023-10-13,0,,1,0
2023-10-14,0,,1,0
2023-10-15,0,,1,0
2023-10-21,0,,1,0
2023-10-22,0,,1,0
2023-10-28,0,,1,0
2023-10-29,0,,1,0
2023-11-04,0,,1,0
2023-11-05,0,,1,0
2023-11-11,0,,1,0
2023-11-12,0,,1,0
2023-11-18,0,,1,0
2023-11-19,0,,1,0
2023-11-25,0,,1,0
2023-11-26,0,,1,0
2023-12-02,0,,1,0
2023-12-03,0,,1,0
2023-12-09,0,,1,0
2023-12-10,0,,1,0
2023-12-16,0,,1,0
2023-12-17,0,,1,0
2023-12-23,0,,1,0
2023-12-24,0,,1,0
2023-12-30,0,,1,0
2023-12-31,0,,1,0
2024-01-06,0,,1,0
2024-01-07,0,,1,0
2024-01-13,0,,1,0
2024-01-14,0,,1,0
2024-01-20,0,,1,0
2024-01-21,0,,1,0
2024-01-27,0,,1,0
2024-01-28,0,,1,0
2024-02-03,0,,1,0
2024-02-04,0,,1,0
2024-02-10,0,,1,0
2024-02-11,0,,1,0
2024-02-12,0,,1,0
2024-02-17,0,,1,0
2024-02-18,0,,1,0
2024-02-24,0,,1,0
2024-02-25,0,,1,0
2024-03-02,0,,1,0
2024-03-03,0,,1,0
2024-03-09,0,,1,0
2024-03-10,0,,1,0
2024-03-16,0,,1,0
2024-03-17,0,,1,0
2024-03-23,0,,1,0
2024-03-24,0,,1,0
2024-03-30,0,,1,0
2024-03-31,0,,1,0
2024-04-06,0,,1,0
2024-04-07,0,,1,0
2024-04-13,0,,1,0
2024-04-14,0,,1,0
2024-04-20,0,,1,0
2024-04-21,0,,1,0
2024-04-27,0,,1,0
2024-04-28,0,,1,0
2024-05-02,1,,0,0
2024-05-03,1,,0,0
2024-05-04,1,,1,0
2024-05-05,1,,1,0
2024-05-06,1,,0,0
2024-05-07,1,,0,0
2024-05-11,0,,1,0
2024-05-12,0,,1,0
2024-05-18,0,,1,0
2024-05-19,0,,1,0
2024-05-25,0,,1,0
2024-05-26,0,,1,0
2024-06-01,0,,1,0
2024-06-02,0,,1,0
2024-06-08,0,,1,0
2024-06-09,0,,1,0
2024-06-10,0,,1,0
2024-06-11,0,,1,0
2024-06-15,0,,1,0
2024-06-16,0,,1,0
2024-06-22,0,,1,0
2024-06-23,0,,1,0
2024-06-29,0,,1,0
2024-06-30,0,,1,0
2024-07-06,0,,1,0
2024-07-07,0,,1,0
2024-07-13,0,,1,0
2024-07-14,0,,1,0
2024-07-20,0,,1,0
2024-07-21,0,,1,0
2024-07-27,0,,1,0
2024-07-28,0,,1,0
2024-08-03,0,,1,0
2024-08-04,0,,1,0
2024-08-10,0,,1,0
2024-08-11,0,,1,0
2024-08-17,0,,1,0
2024-08-18,0,,1,0
2024-08-24,0,,1,0
2024-08-25,0,,1,0
2024-08-31,0,,1,0
2024-09-01,0,,1,0
2024-09-07,0,,1,0
2024-09-08,0,,1,0
2024-09-14,0,,1,0
2024-09-15,0,,1,0
2024-09-21,0,,1,0
2024-09-22,0,,1,0
2024-09-28,0,,1,0
2024-09-29,0,,1,0
2024-10-05,0,,1,0
2024-10-06,0,,1,0
2024-10-07,0,,1,0
2024-10-08,0,,1,0
2024-10-09,0,,1,0
2024-10-12,0,,1,0
2024-10-13,0,,1,0
2024-10-19,0,,1,0
2024-10-20,0,,1,0
2024-10-26,0,,1,0
2024-10-27,0,,1,0
2024-11-02,0,,1,0
2024-11-03,0,,1,0
2024-11-09,0,,1,0
2024-11-10,0,,1,0
2024-11-16,0,,1,0
2024-11-17,0,,1,0
2024-11-23,0,,1,0
2024-11-24,0,,1,0
2024-11-30,0,,1,0
2024-12-01,0,,1,0
2024-12-07,0,,1,0
2024-12-08,0,,1,0
2024-12-14,0,,1,0
2024-12-15,0,,1,0
2024-12-21,0,,1,0
2024-12-22,0,,1,0
2024-12-28,0,,1,0
2024-12-29,0,,1,0
