node_id,node_type,name,properties_json
holiday:2022:国庆节,HolidayEvent,国庆节,"{""start_date"":""2022-10-01"",""end_date"":""2022-10-07"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-10-08,MakeupWorkday,国庆节,"{""start_date"":""2022-10-08"",""end_date"":""2022-10-08"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-10-09,MakeupWorkday,国庆节,"{""start_date"":""2022-10-09"",""end_date"":""2022-10-09"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2023:元旦,HolidayEvent,元旦,"{""start_date"":""2022-12-31"",""end_date"":""2023-01-02"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2023:春节,HolidayEvent,春节,"{""start_date"":""2023-01-21"",""end_date"":""2023-01-27"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-01-28,MakeupWorkday,春节,"{""start_date"":""2023-01-28"",""end_date"":""2023-01-28"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-01-29,MakeupWorkday,春节,"{""start_date"":""2023-01-29"",""end_date"":""2023-01-29"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2023:清明节,HolidayEvent,清明节,"{""start_date"":""2023-04-05"",""end_date"":""2023-04-05"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-04-23,MakeupWorkday,劳动节,"{""start_date"":""2023-04-23"",""end_date"":""2023-04-23"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2023:劳动节,HolidayEvent,劳动节,"{""start_date"":""2023-04-29"",""end_date"":""2023-05-03"",""days"":5,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-05-06,MakeupWorkday,劳动节,"{""start_date"":""2023-05-06"",""end_date"":""2023-05-06"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2023:端午节,HolidayEvent,端午节,"{""start_date"":""2023-06-22"",""end_date"":""2023-06-24"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-06-25,MakeupWorkday,端午节,"{""start_date"":""2023-06-25"",""end_date"":""2023-06-25"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2023:中秋节+国庆节,HolidayEvent,中秋节+国庆节,"{""start_date"":""2023-09-29"",""end_date"":""2023-10-06"",""days"":8,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-10-07,MakeupWorkday,中秋节+国庆节,"{""start_date"":""2023-10-07"",""end_date"":""2023-10-07"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
makeup_workday:2023:2023-10-08,MakeupWorkday,中秋节+国庆节,"{""start_date"":""2023-10-08"",""end_date"":""2023-10-08"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html""}"
holiday:2024:元旦,HolidayEvent,元旦,"{""start_date"":""2024-01-01"",""end_date"":""2024-01-01"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-02-04,MakeupWorkday,春节,"{""start_date"":""2024-02-04"",""end_date"":""2024-02-04"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:春节,HolidayEvent,春节,"{""start_date"":""2024-02-10"",""end_date"":""2024-02-17"",""days"":8,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-02-18,MakeupWorkday,春节,"{""start_date"":""2024-02-18"",""end_date"":""2024-02-18"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:清明节,HolidayEvent,清明节,"{""start_date"":""2024-04-04"",""end_date"":""2024-04-06"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-04-07,MakeupWorkday,清明节,"{""start_date"":""2024-04-07"",""end_date"":""2024-04-07"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-04-28,MakeupWorkday,劳动节,"{""start_date"":""2024-04-28"",""end_date"":""2024-04-28"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:劳动节,HolidayEvent,劳动节,"{""start_date"":""2024-05-01"",""end_date"":""2024-05-05"",""days"":5,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-05-11,MakeupWorkday,劳动节,"{""start_date"":""2024-05-11"",""end_date"":""2024-05-11"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:端午节,HolidayEvent,端午节,"{""start_date"":""2024-06-10"",""end_date"":""2024-06-10"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-09-14,MakeupWorkday,中秋节,"{""start_date"":""2024-09-14"",""end_date"":""2024-09-14"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:中秋节,HolidayEvent,中秋节,"{""start_date"":""2024-09-15"",""end_date"":""2024-09-17"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-09-29,MakeupWorkday,国庆节,"{""start_date"":""2024-09-29"",""end_date"":""2024-09-29"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2024:国庆节,HolidayEvent,国庆节,"{""start_date"":""2024-10-01"",""end_date"":""2024-10-07"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
makeup_workday:2024:2024-10-12,MakeupWorkday,国庆节,"{""start_date"":""2024-10-12"",""end_date"":""2024-10-12"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html""}"
holiday:2025:元旦,HolidayEvent,元旦,"{""start_date"":""2025-01-01"",""end_date"":""2025-01-01"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
makeup_workday:2025:2025-01-26,MakeupWorkday,春节,"{""start_date"":""2025-01-26"",""end_date"":""2025-01-26"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
holiday:2025:春节,HolidayEvent,春节,"{""start_date"":""2025-01-28"",""end_date"":""2025-02-04"",""days"":8,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
makeup_workday:2025:2025-02-08,MakeupWorkday,春节,"{""start_date"":""2025-02-08"",""end_date"":""2025-02-08"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
holiday:2025:清明节,HolidayEvent,清明节,"{""start_date"":""2025-04-04"",""end_date"":""2025-04-06"",""days"":3,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
makeup_workday:2025:2025-04-27,MakeupWorkday,劳动节,"{""start_date"":""2025-04-27"",""end_date"":""2025-04-27"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
holiday:2025:劳动节,HolidayEvent,劳动节,"{""start_date"":""2025-05-01"",""end_date"":""2025-05-05"",""days"":5,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
holiday:2025:端午节,HolidayEvent,端午节,"{""start_date"":""2025-05-31"",""end_date"":""2025-06-02"",""days"":3,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
makeup_workday:2025:2025-09-28,MakeupWorkday,国庆节+中秋节,"{""start_date"":""2025-09-28"",""end_date"":""2025-09-28"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
holiday:2025:国庆节+中秋节,HolidayEvent,国庆节+中秋节,"{""start_date"":""2025-10-01"",""end_date"":""2025-10-08"",""days"":8,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
makeup_workday:2025:2025-10-11,MakeupWorkday,国庆节+中秋节,"{""start_date"":""2025-10-11"",""end_date"":""2025-10-11"",""days"":1,""source_url"":""https://www.gov.cn/zhengce/content/202411/content_6986382.htm""}"
period:M:2021-01,TimePeriod,2021-01,"{""frequency"":""M"",""start"":""2021-01-01""}"
obs:electricity:2021-01,Observation,浙江全社会用电量 2021-01,"{""value"":465.5998,""expected"":422.7499879800427,""residual_pct"":0.10135970014972573,""trend_level"":450.3299111028342,""seasonal_factor"":0.9387561819838935}"
period:M:2021-02,TimePeriod,2021-02,"{""frequency"":""M"",""start"":""2021-02-01""}"
obs:electricity:2021-02,Observation,浙江全社会用电量 2021-02,"{""value"":256.1031,""expected"":357.88967032014205,""residual_pct"":-0.2844076785705807,""trend_level"":452.0707252770856,""seasonal_factor"":0.7916674323487378}"
period:M:2021-03,TimePeriod,2021-03,"{""frequency"":""M"",""start"":""2021-03-01""}"
obs:electricity:2021-03,Observation,浙江全社会用电量 2021-03,"{""value"":447.4071,""expected"":449.4076625512354,""residual_pct"":-0.004451554163269922,""trend_level"":453.81677418712144,""seasonal_factor"":0.9902843793207433}"
period:M:2021-04,TimePeriod,2021-04,"{""frequency"":""M"",""start"":""2021-04-01""}"
obs:electricity:2021-04,Observation,浙江全社会用电量 2021-04,"{""value"":433.6378,""expected"":432.7629516835062,""residual_pct"":0.0020215416155440202,""trend_level"":455.569458121705,""seasonal_factor"":0.949938464856206}"
period:M:2021-05,TimePeriod,2021-05,"{""frequency"":""M"",""start"":""2021-05-01""}"
obs:electricity:2021-05,Observation,浙江全社会用电量 2021-05,"{""value"":452.5544,""expected"":451.8479843413312,""residual_pct"":0.0015633922981830306,""trend_level"":457.33286177423247,""seasonal_factor"":0.9880068154043806}"
period:M:2021-06,TimePeriod,2021-06,"{""frequency"":""M"",""start"":""2021-06-01""}"
obs:electricity:2021-06,Observation,浙江全社会用电量 2021-06,"{""value"":478.0096,""expected"":475.68897305522603,""residual_pct"":0.004878454360354834,""trend_level"":459.1109170470463,""seasonal_factor"":1.0361090433545077}"
period:M:2021-07,TimePeriod,2021-07,"{""frequency"":""M"",""start"":""2021-07-01""}"
obs:electricity:2021-07,Observation,浙江全社会用电量 2021-07,"{""value"":562.7703,""expected"":562.724219393477,""residual_pct"":8.188843652878752e-05,""trend_level"":460.9059773804556,""seasonal_factor"":1.2209089207124246}"
period:M:2021-08,TimePeriod,2021-08,"{""frequency"":""M"",""start"":""2021-08-01""}"
obs:electricity:2021-08,Observation,浙江全社会用电量 2021-08,"{""value"":561.889,""expected"":562.0469999808965,""residual_pct"":-0.0002811152464151645,""trend_level"":462.71692567307343,""seasonal_factor"":1.2146670432756186}"
period:M:2021-09,TimePeriod,2021-09,"{""frequency"":""M"",""start"":""2021-09-01""}"
obs:electricity:2021-09,Observation,浙江全社会用电量 2021-09,"{""value"":512.2877,""expected"":512.4246698066898,""residual_pct"":-0.0002672974483088897,""trend_level"":464.53898582495174,""seasonal_factor"":1.103082164130316}"
period:M:2021-10,TimePeriod,2021-10,"{""frequency"":""M"",""start"":""2021-10-01""}"
obs:electricity:2021-10,Observation,浙江全社会用电量 2021-10,"{""value"":430.1101,""expected"":432.3755622079639,""residual_pct"":-0.005239570424367068,""trend_level"":466.3619600489726,""seasonal_factor"":0.9271244210453189}"
period:M:2021-11,TimePeriod,2021-11,"{""frequency"":""M"",""start"":""2021-11-01""}"
obs:electricity:2021-11,Observation,浙江全社会用电量 2021-11,"{""value"":437.2489,""expected"":437.6941443066115,""residual_pct"":-0.0010172498590697021,""trend_level"":468.16953325742173,""seasonal_factor"":0.9349052281579088}"
period:M:2021-12,TimePeriod,2021-12,"{""frequency"":""M"",""start"":""2021-12-01""}"
obs:electricity:2021-12,Observation,浙江全社会用电量 2021-12,"{""value"":476.4931,""expected"":477.1739093804905,""residual_pct"":-0.0014267531545770762,""trend_level"":469.96622404771523,""seasonal_factor"":1.0153366028534925}"
period:M:2022-01,TimePeriod,2022-01,"{""frequency"":""M"",""start"":""2022-01-01""}"
obs:electricity:2022-01,Observation,浙江全社会用电量 2022-01,"{""value"":431.338,""expected"":431.4312113686928,""residual_pct"":-0.00021605151930725874,""trend_level"":471.8250196076261,""seasonal_factor"":0.9143881596772352}"
period:M:2022-02,TimePeriod,2022-02,"{""frequency"":""M"",""start"":""2022-02-01""}"
obs:electricity:2022-02,Observation,浙江全社会用电量 2022-02,"{""value"":375.7401,""expected"":375.8169950587408,""residual_pct"":-0.0002046077206508956,""trend_level"":473.9398106798709,""seasonal_factor"":0.7929635506239243}"
period:M:2022-03,TimePeriod,2022-03,"{""frequency"":""M"",""start"":""2022-03-01""}"
obs:electricity:2022-03,Observation,浙江全社会用电量 2022-03,"{""value"":474.8464,""expected"":472.7456863546619,""residual_pct"":0.004443644238272482,""trend_level"":476.3593790176581,""seasonal_factor"":0.9924139361537325}"
period:M:2022-04,TimePeriod,2022-04,"{""frequency"":""M"",""start"":""2022-04-01""}"
obs:electricity:2022-04,Observation,浙江全社会用电量 2022-04,"{""value"":430.5708,""expected"":449.92649670626986,""residual_pct"":-0.04301968621089236,""trend_level"":478.9392963815099,""seasonal_factor"":0.9394228039034632}"
period:M:2022-05,TimePeriod,2022-05,"{""frequency"":""M"",""start"":""2022-05-01""}"
obs:electricity:2022-05,Observation,浙江全社会用电量 2022-05,"{""value"":438.4435,""expected"":468.6109203116049,""residual_pct"":-0.06437626398365826,""trend_level"":481.50269677187754,""seasonal_factor"":0.9732259516993312}"
period:M:2022-06,TimePeriod,2022-06,"{""frequency"":""M"",""start"":""2022-06-01""}"
obs:electricity:2022-06,Observation,浙江全社会用电量 2022-06,"{""value"":485.2202,""expected"":490.1032076771924,""residual_pct"":-0.009963223257270837,""trend_level"":484.0357790394555,""seasonal_factor"":1.012535082943202}"
period:M:2022-07,TimePeriod,2022-07,"{""frequency"":""M"",""start"":""2022-07-01""}"
obs:electricity:2022-07,Observation,浙江全社会用电量 2022-07,"{""value"":624.9475,""expected"":604.3610403720108,""residual_pct"":0.03406318119929974,""trend_level"":486.5539741552861,""seasonal_factor"":1.2421253806861847}"
period:M:2022-08,TimePeriod,2022-08,"{""frequency"":""M"",""start"":""2022-08-01""}"
obs:electricity:2022-08,Observation,浙江全社会用电量 2022-08,"{""value"":627.5656,""expected"":610.3011056369173,""residual_pct"":0.02828848613188284,""trend_level"":488.9745200880326,""seasonal_factor"":1.2481245557069962}"
period:M:2022-09,TimePeriod,2022-09,"{""frequency"":""M"",""start"":""2022-09-01""}"
obs:electricity:2022-09,Observation,浙江全社会用电量 2022-09,"{""value"":483.3107,""expected"":546.3862139337504,""residual_pct"":-0.11544126173981084,""trend_level"":491.31003363526935,""seasonal_factor"":1.11210066257138}"
period:M:2022-10,TimePeriod,2022-10,"{""frequency"":""M"",""start"":""2022-10-01""}"
obs:electricity:2022-10,Observation,浙江全社会用电量 2022-10,"{""value"":464.215,""expected"":460.3338499716552,""residual_pct"":0.008431163662163454,""trend_level"":493.66691399630923,""seasonal_factor"":0.9324786347239319}"
period:M:2022-11,TimePeriod,2022-11,"{""frequency"":""M"",""start"":""2022-11-01""}"
obs:electricity:2022-11,Observation,浙江全社会用电量 2022-11,"{""value"":449.4513,""expected"":462.58204903838663,""residual_pct"":-0.028385773001098458,""trend_level"":496.14341960237095,""seasonal_factor"":0.9323555060129958}"
period:M:2022-12,TimePeriod,2022-12,"{""frequency"":""M"",""start"":""2022-12-01""}"
obs:electricity:2022-12,Observation,浙江全社会用电量 2022-12,"{""value"":513.6992,""expected"":514.4621185271097,""residual_pct"":-0.0014829440295700547,""trend_level"":498.7598550243217,""seasonal_factor"":1.0314826130142778}"
period:M:2023-01,TimePeriod,2023-01,"{""frequency"":""M"",""start"":""2023-01-01""}"
obs:electricity:2023-01,Observation,浙江全社会用电量 2023-01,"{""value"":341.1477,""expected"":446.5986243897726,""residual_pct"":-0.2361201280766585,""trend_level"":501.43989787923454,""seasonal_factor"":0.8906324093447594}"
period:M:2023-02,TimePeriod,2023-02,"{""frequency"":""M"",""start"":""2023-02-01""}"
obs:electricity:2023-02,Observation,浙江全社会用电量 2023-02,"{""value"":442.2964,""expected"":400.38860713072575,""residual_pct"":0.10466779554392147,""trend_level"":504.1136231367057,""seasonal_factor"":0.7942427832825069}"
period:M:2023-03,TimePeriod,2023-03,"{""frequency"":""M"",""start"":""2023-03-01""}"
obs:electricity:2023-03,Observation,浙江全社会用电量 2023-03,"{""value"":506.4951,""expected"":504.0905781991434,""residual_pct"":0.004770019327571484,""trend_level"":506.85634011806525,""seasonal_factor"":0.9945433021153933}"
period:M:2023-04,TimePeriod,2023-04,"{""frequency"":""M"",""start"":""2023-04-01""}"
obs:electricity:2023-04,Observation,浙江全社会用电量 2023-04,"{""value"":467.4495,""expected"":473.7430568895905,""residual_pct"":-0.013284747497750105,""trend_level"":509.75552353900736,""seasonal_factor"":0.9293534547710274}"
period:M:2023-05,TimePeriod,2023-05,"{""frequency"":""M"",""start"":""2023-05-01""}"
obs:electricity:2023-05,Observation,浙江全社会用电量 2023-05,"{""value"":488.2146,""expected"":491.7454810269372,""residual_pct"":-0.007180301930916566,""trend_level"":512.8098745221026,""seasonal_factor"":0.9589235805671726}"
period:M:2023-06,TimePeriod,2023-06,"{""frequency"":""M"",""start"":""2023-06-01""}"
obs:electricity:2023-06,Observation,浙江全社会用电量 2023-06,"{""value"":532.5154,""expected"":510.67676567993806,""residual_pct"":0.04276410400419328,""trend_level"":515.9903406501356,""seasonal_factor"":0.9897021813169938}"
period:M:2023-07,TimePeriod,2023-07,"{""frequency"":""M"",""start"":""2023-07-01""}"
obs:electricity:2023-07,Observation,浙江全社会用电量 2023-07,"{""value"":655.4505,""expected"":656.2581878771018,""residual_pct"":-0.0012307471236504552,""trend_level"":519.291600236934,""seasonal_factor"":1.2637566014502737}"
period:M:2023-08,TimePeriod,2023-08,"{""frequency"":""M"",""start"":""2023-08-01""}"
obs:electricity:2023-08,Observation,浙江全社会用电量 2023-08,"{""value"":635.7354,""expected"":670.3518236461285,""residual_pct"":-0.051639187699744626,""trend_level"":522.6996430035637,""seasonal_factor"":1.2824799722343763}"
period:M:2023-09,TimePeriod,2023-09,"{""frequency"":""M"",""start"":""2023-09-01""}"
obs:electricity:2023-09,Observation,浙江全社会用电量 2023-09,"{""value"":557.714,""expected"":589.9008960979681,""residual_pct"":-0.05456322631627708,""trend_level"":526.1456282506074,""seasonal_factor"":1.1211741852903765}"
period:M:2023-10,TimePeriod,2023-10,"{""frequency"":""M"",""start"":""2023-10-01""}"
obs:electricity:2023-10,Observation,浙江全社会用电量 2023-10,"{""value"":496.797,""expected"":496.60352414990706,""residual_pct"":0.0003895982220911698,""trend_level"":529.6296677338269,""seasonal_factor"":0.9376429501669881}"
period:M:2023-11,TimePeriod,2023-11,"{""frequency"":""M"",""start"":""2023-11-01""}"
obs:electricity:2023-11,Observation,浙江全社会用电量 2023-11,"{""value"":497.0234,""expected"":495.666354511043,""residual_pct"":0.00273782046452542,""trend_level"":533.1513820060972,""seasonal_factor"":0.9296915871173235}"
period:M:2023-12,TimePeriod,2023-12,"{""frequency"":""M"",""start"":""2023-12-01""}"
obs:electricity:2023-12,Observation,浙江全社会用电量 2023-12,"{""value"":571.1593,""expected"":562.2534951574502,""residual_pct"":0.01583948329223972,""trend_level"":536.7326111348466,""seasonal_factor"":1.047548599606503}"
period:M:2024-01,TimePeriod,2024-01,"{""frequency"":""M"",""start"":""2024-01-01""}"
obs:electricity:2024-01,Observation,浙江全社会用电量 2024-01,"{""value"":551.65441834,""expected"":468.72088632366615,""residual_pct"":0.17693585764186692,""trend_level"":540.3217156375181,""seasonal_factor"":0.8674848201698299}"
period:M:2024-02,TimePeriod,2024-02,"{""frequency"":""M"",""start"":""2024-02-01""}"
obs:electricity:2024-02,Observation,浙江全社会用电量 2024-02,"{""value"":354.77613499,""expected"":432.5600871562116,""residual_pct"":-0.17982230556126477,""trend_level"":543.7474066357288,""seasonal_factor"":0.7955165981067299}"
period:M:2024-03,TimePeriod,2024-03,"{""frequency"":""M"",""start"":""2024-03-01""}"
