event_id,notice_year,event_type,holiday_name,start_date,end_date,days,source_file,source_url,raw_text
holiday:2021:中秋节,2021,holiday_leave_interval,中秋节,2021-09-19,2021-09-21,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,六、中秋节：9月19日至21日放假调休，共3天。9月18日（星期六）上班。
makeup_workday:2021:2021-09-26,2021,makeup_workday,国庆节,2021-09-26,2021-09-26,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月26日（星期日）、10月9日（星期六）上班。
holiday:2021:国庆节,2021,holiday_leave_interval,国庆节,2021-10-01,2021-10-07,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月26日（星期日）、10月9日（星期六）上班。
makeup_workday:2021:2021-10-09,2021,makeup_workday,国庆节,2021-10-09,2021-10-09,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月26日（星期日）、10月9日（星期六）上班。
holiday:2022:元旦,2022,holiday_leave_interval,元旦,2022-01-01,2022-01-03,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,一、元旦：2022年1月1日至3日放假，共3天。
makeup_workday:2022:2022-01-29,2022,makeup_workday,春节,2022-01-29,2022-01-29,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,二、春节：1月31日至2月6日放假调休，共7天。1月29日（星期六）、1月30日（星期日）上班。
makeup_workday:2022:2022-01-30,2022,makeup_workday,春节,2022-01-30,2022-01-30,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,二、春节：1月31日至2月6日放假调休，共7天。1月29日（星期六）、1月30日（星期日）上班。
holiday:2022:春节,2022,holiday_leave_interval,春节,2022-01-31,2022-02-06,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,二、春节：1月31日至2月6日放假调休，共7天。1月29日（星期六）、1月30日（星期日）上班。
makeup_workday:2022:2022-04-02,2022,makeup_workday,清明节,2022-04-02,2022-04-02,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,三、清明节：4月3日至5日放假调休，共3天。4月2日（星期六）上班。
holiday:2022:清明节,2022,holiday_leave_interval,清明节,2022-04-03,2022-04-05,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,三、清明节：4月3日至5日放假调休，共3天。4月2日（星期六）上班。
makeup_workday:2022:2022-04-24,2022,makeup_workday,劳动节,2022-04-24,2022-04-24,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,四、劳动节：4月30日至5月4日放假调休，共5天。4月24日（星期日）、5月7日（星期六）上班。
holiday:2022:劳动节,2022,holiday_leave_interval,劳动节,2022-04-30,2022-05-04,5,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,四、劳动节：4月30日至5月4日放假调休，共5天。4月24日（星期日）、5月7日（星期六）上班。
makeup_workday:2022:2022-05-07,2022,makeup_workday,劳动节,2022-05-07,2022-05-07,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,四、劳动节：4月30日至5月4日放假调休，共5天。4月24日（星期日）、5月7日（星期六）上班。
holiday:2022:端午节,2022,holiday_leave_interval,端午节,2022-06-03,2022-06-05,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,五、端午节：6月3日至5日放假，共3天。
holiday:2022:中秋节,2022,holiday_leave_interval,中秋节,2022-09-10,2022-09-12,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,六、中秋节：9月10日至12日放假，共3天。
holiday:2022:国庆节,2022,holiday_leave_interval,国庆节,2022-10-01,2022-10-07,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,七、国庆节：10月1日至7日放假调休，共7天。10月8日（星期六）、10月9日（星期日）上班。
makeup_workday:2022:2022-10-08,2022,makeup_workday,国庆节,2022-10-08,2022-10-08,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,七、国庆节：10月1日至7日放假调休，共7天。10月8日（星期六）、10月9日（星期日）上班。
makeup_workday:2022:2022-10-09,2022,makeup_workday,国庆节,2022-10-09,2022-10-09,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html,七、国庆节：10月1日至7日放假调休，共7天。10月8日（星期六）、10月9日（星期日）上班。
holiday:2023:元旦,2023,holiday_leave_interval,元旦,2022-12-31,2023-01-02,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,一、元旦：2022年12月31日至2023年1月2日放假调休，共3天。
holiday:2023:春节,2023,holiday_leave_interval,春节,2023-01-21,2023-01-27,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,二、春节：1月21日至27日放假调休，共7天。1月28日（星期六）、1月29日（星期日）上班。
makeup_workday:2023:2023-01-28,2023,makeup_workday,春节,2023-01-28,2023-01-28,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,二、春节：1月21日至27日放假调休，共7天。1月28日（星期六）、1月29日（星期日）上班。
makeup_workday:2023:2023-01-29,2023,makeup_workday,春节,2023-01-29,2023-01-29,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,二、春节：1月21日至27日放假调休，共7天。1月28日（星期六）、1月29日（星期日）上班。
holiday:2023:清明节,2023,holiday_leave_interval,清明节,2023-04-05,2023-04-05,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,三、清明节：4月5日放假，共1天。
makeup_workday:2023:2023-04-23,2023,makeup_workday,劳动节,2023-04-23,2023-04-23,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,四、劳动节：4月29日至5月3日放假调休，共5天。4月23日（星期日）、5月6日（星期六）上班。
holiday:2023:劳动节,2023,holiday_leave_interval,劳动节,2023-04-29,2023-05-03,5,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,四、劳动节：4月29日至5月3日放假调休，共5天。4月23日（星期日）、5月6日（星期六）上班。
makeup_workday:2023:2023-05-06,2023,makeup_workday,劳动节,2023-05-06,2023-05-06,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,四、劳动节：4月29日至5月3日放假调休，共5天。4月23日（星期日）、5月6日（星期六）上班。
holiday:2023:端午节,2023,holiday_leave_interval,端午节,2023-06-22,2023-06-24,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,五、端午节：6月22日至24日放假调休，共3天。6月25日（星期日）上班。
makeup_workday:2023:2023-06-25,2023,makeup_workday,端午节,2023-06-25,2023-06-25,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,五、端午节：6月22日至24日放假调休，共3天。6月25日（星期日）上班。
holiday:2023:中秋节+国庆节,2023,holiday_leave_interval,中秋节+国庆节,2023-09-29,2023-10-06,8,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,六、中秋节、国庆节：9月29日至10月6日放假调休，共8天。10月7日（星期六）、10月8日（星期日）上班。
makeup_workday:2023:2023-10-07,2023,makeup_workday,中秋节+国庆节,2023-10-07,2023-10-07,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,六、中秋节、国庆节：9月29日至10月6日放假调休，共8天。10月7日（星期六）、10月8日（星期日）上班。
makeup_workday:2023:2023-10-08,2023,makeup_workday,中秋节+国庆节,2023-10-08,2023-10-08,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,六、中秋节、国庆节：9月29日至10月6日放假调休，共8天。10月7日（星期六）、10月8日（星期日）上班。
holiday:2024:元旦,2024,holiday_leave_interval,元旦,2024-01-01,2024-01-01,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,一、元旦：1月1日放假，与周末连休。
makeup_workday:2024:2024-02-04,2024,makeup_workday,春节,2024-02-04,2024-02-04,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,二、春节：2月10日至17日放假调休，共8天。2月4日（星期日）、2月18日（星期日）上班。鼓励各单位结合带薪年休假等制度落实，安排职工在除夕（2月9日）休息。
holiday:2024:春节,2024,holiday_leave_interval,春节,2024-02-10,2024-02-17,8,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,二、春节：2月10日至17日放假调休，共8天。2月4日（星期日）、2月18日（星期日）上班。鼓励各单位结合带薪年休假等制度落实，安排职工在除夕（2月9日）休息。
makeup_workday:2024:2024-02-18,2024,makeup_workday,春节,2024-02-18,2024-02-18,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,二、春节：2月10日至17日放假调休，共8天。2月4日（星期日）、2月18日（星期日）上班。鼓励各单位结合带薪年休假等制度落实，安排职工在除夕（2月9日）休息。
holiday:2024:清明节,2024,holiday_leave_interval,清明节,2024-04-04,2024-04-06,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,三、清明节：4月4日至6日放假调休，共3天。4月7日（星期日）上班。
makeup_workday:2024:2024-04-07,2024,makeup_workday,清明节,2024-04-07,2024-04-07,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,三、清明节：4月4日至6日放假调休，共3天。4月7日（星期日）上班。
makeup_workday:2024:2024-04-28,2024,makeup_workday,劳动节,2024-04-28,2024-04-28,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月28日（星期日）、5月11日（星期六）上班。
holiday:2024:劳动节,2024,holiday_leave_interval,劳动节,2024-05-01,2024-05-05,5,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月28日（星期日）、5月11日（星期六）上班。
makeup_workday:2024:2024-05-11,2024,makeup_workday,劳动节,2024-05-11,2024-05-11,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月28日（星期日）、5月11日（星期六）上班。
holiday:2024:端午节,2024,holiday_leave_interval,端午节,2024-06-10,2024-06-10,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,五、端午节：6月10日放假，与周末连休。
makeup_workday:2024:2024-09-14,2024,makeup_workday,中秋节,2024-09-14,2024-09-14,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,六、中秋节：9月15日至17日放假调休，共3天。9月14日（星期六）上班。
holiday:2024:中秋节,2024,holiday_leave_interval,中秋节,2024-09-15,2024-09-17,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,六、中秋节：9月15日至17日放假调休，共3天。9月14日（星期六）上班。
makeup_workday:2024:2024-09-29,2024,makeup_workday,国庆节,2024-09-29,2024-09-29,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月29日（星期日）、10月12日（星期六）上班。
holiday:2024:国庆节,2024,holiday_leave_interval,国庆节,2024-10-01,2024-10-07,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月29日（星期日）、10月12日（星期六）上班。
makeup_workday:2024:2024-10-12,2024,makeup_workday,国庆节,2024-10-12,2024-10-12,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,七、国庆节：10月1日至7日放假调休，共7天。9月29日（星期日）、10月12日（星期六）上班。
holiday:2025:元旦,2025,holiday_leave_interval,元旦,2025-01-01,2025-01-01,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,一、元旦：1月1日（周三）放假1天，不调休。
makeup_workday:2025:2025-01-26,2025,makeup_workday,春节,2025-01-26,2025-01-26,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,二、春节：1月28日（农历除夕、周二）至2月4日（农历正月初七、周二）放假调休，共8天。1月26日（周日）、2月8日（周六）上班。
holiday:2025:春节,2025,holiday_leave_interval,春节,2025-01-28,2025-02-04,8,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,二、春节：1月28日（农历除夕、周二）至2月4日（农历正月初七、周二）放假调休，共8天。1月26日（周日）、2月8日（周六）上班。
makeup_workday:2025:2025-02-08,2025,makeup_workday,春节,2025-02-08,2025-02-08,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,二、春节：1月28日（农历除夕、周二）至2月4日（农历正月初七、周二）放假调休，共8天。1月26日（周日）、2月8日（周六）上班。
holiday:2025:清明节,2025,holiday_leave_interval,清明节,2025-04-04,2025-04-06,3,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,三、清明节：4月4日（周五）至6日（周日）放假，共3天。
makeup_workday:2025:2025-04-27,2025,makeup_workday,劳动节,2025-04-27,2025-04-27,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,四、劳动节：5月1日（周四）至5日（周一）放假调休，共5天。4月27日（周日）上班。
holiday:2025:劳动节,2025,holiday_leave_interval,劳动节,2025-05-01,2025-05-05,5,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,四、劳动节：5月1日（周四）至5日（周一）放假调休，共5天。4月27日（周日）上班。
holiday:2025:端午节,2025,holiday_leave_interval,端午节,2025-05-31,2025-06-02,3,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,五、端午节：5月31日（周六）至6月2日（周一）放假，共3天。
makeup_workday:2025:2025-09-28,2025,makeup_workday,国庆节+中秋节,2025-09-28,2025-09-28,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,六、国庆节、中秋节：10月1日（周三）至8日（周三）放假调休，共8天。9月28日（周日）、10月11日（周六）上班。
holiday:2025:国庆节+中秋节,2025,holiday_leave_interval,国庆节+中秋节,2025-10-01,2025-10-08,8,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,六、国庆节、中秋节：10月1日（周三）至8日（周三）放假调休，共8天。9月28日（周日）、10月11日（周六）上班。
makeup_workday:2025:2025-10-11,2025,makeup_workday,国庆节+中秋节,2025-10-11,2025-10-11,1,国务院办公厅近五年节假日安排.docx,https://www.gov.cn/zhengce/content/202411/content_6986382.htm,六、国庆节、中秋节：10月1日（周三）至8日（周三）放假调休，共8天。9月28日（周日）、10月11日（周六）上班。
