date,electricity,_true_anomaly,_synthetic_temp,temperature,dayofweek,is_weekend,month,dayofyear,is_holiday,is_workday,holiday_name,is_spring_festival,days_to_cny,gdp_yoy,pmi,CDD,HDD,log_elec
2019-02-10,59.345626938442614,0,7.024878458969327,7.024878458969327,6,1,2,41,1,0,Spring Festival,1,8.0,5.84,50.9,0.0,2.9751215410306733,4.083378435753663
2019-02-11,96.71506165466415,0,10.56710328539683,10.56710328539683,0,0,2,42,0,1,,0,9.0,5.84,50.9,0.0,0.0,4.5717691468419845
2019-02-12,103.75573077961919,0,3.708597041328413,3.708597041328413,1,0,2,43,0,1,,0,10.0,5.84,50.9,0.0,6.291402958671587,4.642039394015397
2019-02-13,102.51053654742566,0,7.062753876551401,7.062753876551401,2,0,2,44,0,1,,0,11.0,5.84,50.9,0.0,2.937246123448599,4.629965588879999
2019-02-14,107.77744489993421,0,3.354902412465594,3.354902412465594,3,0,2,45,0,1,,0,12.0,5.84,50.9,0.0,6.645097587534406,4.680068405599128
2019-02-15,107.32643613090194,0,4.521640208612216,4.521640208612216,4,0,2,46,0,1,,0,13.0,5.84,50.9,0.0,5.478359791387784,4.675874995161577
2019-02-16,87.26883568277196,0,6.584604285778622,6.584604285778622,5,1,2,47,1,0,,0,14.0,5.84,50.9,0.0,3.415395714221378,4.468993419534392
2019-02-17,88.42202132103924,0,5.451592060175403,5.451592060175403,6,1,2,48,1,0,,0,15.0,5.84,50.9,0.0,4.548407939824597,4.482121048587369
2019-02-18,106.69978658188583,0,6.9958006759828555,6.9958006759828555,0,0,2,49,0,1,,0,16.0,5.84,50.9,0.0,3.0041993240171445,4.67001915813594
2019-02-19,106.7849445609356,0,6.169371898545967,6.169371898545967,1,0,2,50,0,1,,0,17.0,5.84,50.9,0.0,3.8306281014540327,4.6708169480585315
2019-02-20,107.15480826644033,0,6.190827300466218,6.190827300466218,2,0,2,51,0,1,,0,18.0,5.84,50.9,0.0,3.8091726995337822,4.674274595074603
2019-02-21,110.82384061138477,0,3.7001270744725097,3.7001270744725097,3,0,2,52,0,1,,0,19.0,5.84,50.9,0.0,6.29987292552749,4.707941919140662
2019-02-22,102.47249465860759,0,7.833477406144561,7.833477406144561,4,0,2,53,0,1,,0,20.0,5.84,50.9,0.0,2.166522593855439,4.629594417773484
2019-02-23,89.04512982492444,0,4.315749664544798,4.315749664544798,5,1,2,54,1,0,,0,21.0,5.84,50.9,0.0,5.684250335455202,4.489143317896747
2019-02-24,86.49243816832924,0,6.704314079899618,6.704314079899618,6,1,2,55,1,0,,0,22.0,5.84,50.9,0.0,3.2956859201003823,4.460056990097166
2019-02-25,101.24657838785498,0,10.442377403352072,10.442377403352072,0,0,2,56,0,1,,0,23.0,5.84,50.9,0.0,0.0,4.617558911715431
2019-02-26,101.84355471173355,0,11.063684615226808,11.063684615226808,1,0,2,57,0,1,,0,24.0,5.84,50.9,0.0,0.0,4.623437858507759
2019-02-27,106.64529843411587,0,8.369762463634984,8.369762463634984,2,0,2,58,0,1,,0,25.0,5.84,50.9,0.0,1.6302375363650157,4.669508359877329
2019-02-28,105.05982024550016,0,6.663197579230911,6.663197579230911,3,0,2,59,0,1,,0,26.0,5.84,50.9,0.0,3.3368024207690894,4.6545299045544315
2019-03-01,109.38208459793637,0,5.578107147488389,5.578107147488389,4,0,3,60,0,1,,0,27.0,5.91,51.9,0.0,4.421892852511611,4.6948471160469145
2019-03-02,85.02382574485146,0,6.785999603842779,6.785999603842779,5,1,3,61,1,0,,0,28.0,5.91,51.9,0.0,3.214000396157221,4.442931520093409
2019-03-03,83.59645887891938,0,11.796311865946297,11.796311865946297,6,1,3,62,1,0,,0,29.0,5.91,51.9,0.0,0.0,4.426001161285871
2019-03-04,105.96851899130868,0,7.3903708023330505,7.3903708023330505,0,0,3,63,0,1,,0,30.0,5.91,51.9,0.0,2.6096291976669495,4.6631420593535795
2019-03-05,103.4411723749541,0,12.87701436406395,12.87701436406395,1,0,3,64,0,1,,0,31.0,5.91,51.9,0.0,0.0,4.639003068263973
2019-03-06,104.76939731540938,0,9.118466043151063,9.118466043151063,2,0,3,65,0,1,,0,32.0,5.91,51.9,0.0,0.8815339568489371,4.651761718894471
2019-03-07,103.83830103372338,0,10.171690165365593,10.171690165365593,3,0,3,66,0,1,,0,33.0,5.91,51.9,0.0,0.0,4.642834891436371
2019-03-08,103.96207954146395,0,8.495853614989626,8.495853614989626,4,0,3,67,0,1,,0,34.0,5.91,51.9,0.0,1.5041463850103742,4.644026212857797
2019-03-09,83.67977748181204,0,9.945859205109587,9.945859205109587,5,1,3,68,1,0,,0,35.0,5.91,51.9,0.0,0.054140794890413346,4.426997341156912
2019-03-10,88.95364027516197,0,6.456291166595804,6.456291166595804,6,1,3,69,1,0,,0,36.0,5.91,51.9,0.0,3.543708833404196,4.4881153382341035
2019-03-11,107.00576615561674,0,6.316895372475889,6.316895372475889,0,0,3,70,0,1,,0,37.0,5.91,51.9,0.0,3.683104627524111,4.6728827223147595
2019-03-12,100.84258912305766,0,10.488408509108035,10.488408509108035,1,0,3,71,0,1,,0,38.0,5.91,51.9,0.0,0.0,4.613560777546015
2019-03-13,101.09985289687131,0,11.74313542009859,11.74313542009859,2,0,3,72,0,1,,0,39.0,5.91,51.9,0.0,0.0,4.616108670999366
2019-03-14,101.82507336493568,0,9.706287982180385,9.706287982180385,3,0,3,73,0,1,,0,40.0,5.91,51.9,0.0,0.2937120178196153,4.623256374034444
2019-03-15,105.54340811035095,0,8.512204655357262,8.512204655357262,4,0,3,74,0,1,,0,41.0,5.91,51.9,0.0,1.4877953446427377,4.659122319576201
2019-03-16,84.60974835040143,0,11.30260533793897,11.30260533793897,5,1,3,75,1,0,,0,42.0,5.91,51.9,0.0,0.0,4.438049488702007
2019-03-17,85.33530114406477,0,10.529850076321233,10.529850076321233,6,1,3,76,1,0,,0,43.0,5.91,51.9,0.0,0.0,4.446588215827577
2019-03-18,102.37817762561363,0,15.491036348657527,15.491036348657527,0,0,3,77,0,1,,0,44.0,5.91,51.9,0.0,0.0,4.628673580769564
2019-03-19,106.73426669877587,0,7.247423493833688,7.247423493833688,1,0,3,78,0,1,,0,45.0,5.91,51.9,0.0,2.752576506166312,4.670342256691771
2019-03-20,106.51128118415896,0,8.054720633613139,8.054720633613139,2,0,3,79,0,1,,0,46.0,5.91,51.9,0.0,1.9452793663868615,4.668250906151473
2019-03-21,105.53021705379754,0,7.681010894715204,7.681010894715204,3,0,3,80,0,1,,0,47.0,5.91,51.9,0.0,2.318989105284796,4.658997329477979
2019-03-22,103.8962432773753,0,14.080235120415379,14.080235120415379,4,0,3,81,0,1,,0,48.0,5.91,51.9,0.0,0.0,4.643392740352127
2019-03-23,83.80543547408132,0,10.902513859697205,10.902513859697205,5,1,3,82,1,0,,0,49.0,5.91,51.9,0.0,0.0,4.428497867843763
2019-03-24,84.21537385173035,0,11.585442014395621,11.585442014395621,6,1,3,83,1,0,,0,50.0,5.91,51.9,0.0,0.0,4.433377491893959
2019-03-25,102.7097816311316,0,12.691582505511398,12.691582505511398,0,0,3,84,0,1,,0,51.0,5.91,51.9,0.0,0.0,4.631907357103324
2019-03-26,101.4848135267927,0,15.891220098887914,15.891220098887914,1,0,3,85,0,1,,0,52.0,5.91,51.9,0.0,0.0,4.619909166861902
2019-03-27,105.40343003755174,0,8.98141636606102,8.98141636606102,2,0,3,86,0,1,,0,53.0,5.91,51.9,0.0,1.0185836339389809,4.657795178628524
2019-03-28,102.6843649905949,0,12.601926554132154,12.601926554132154,3,0,3,87,0,1,,0,54.0,5.91,51.9,0.0,0.0,4.631659865720687
2019-03-29,103.46875549285524,0,11.371354224608787,11.371354224608787,4,0,3,88,0,1,,0,55.0,5.91,51.9,0.0,0.0,4.639269687834612
2019-03-30,87.04951006902108,0,8.460539340946035,8.460539340946035,5,1,3,89,1,0,,0,56.0,5.91,51.9,0.0,1.5394606590539652,4.46647703804237
2019-03-31,85.45728640927588,0,13.68042593688071,13.68042593688071,6,1,3,90,1,0,,0,57.0,5.91,51.9,0.0,0.0,4.4480166769534515
2019-04-01,104.59298206434858,0,14.41548695442176,14.41548695442176,0,0,4,91,0,1,,0,58.0,5.94,51.8,0.0,0.0,4.65007645630492
2019-04-02,103.44280390647917,0,16.27907743019424,16.27907743019424,1,0,4,92,0,1,,0,59.0,5.94,51.8,0.0,0.0,4.639018840694051
2019-04-03,105.3183787144339,0,8.102935836364972,8.102935836364972,2,0,4,93,0,1,,0,60.0,5.94,51.8,0.0,1.8970641636350276,4.65698794060945
2019-04-04,103.54449608361095,0,10.40758021320006,10.40758021320006,3,0,4,94,0,1,,0,61.0,5.94,51.8,0.0,0.0,4.640001434170255
2019-04-05,88.9502619608451,0,12.100798935603539,12.100798935603539,4,0,4,95,1,0,Tomb-sweeping Day,0,62.0,5.94,51.8,0.0,0.0,4.488077359142303
2019-04-06,73.23430605866076,0,11.61898927024407,11.61898927024407,5,1,4,96,1,0,Tomb-sweeping Day,0,63.0,5.94,51.8,0.0,0.0,4.293663973183092
2019-04-07,73.39942180447969,0,13.555349384750329,13.555349384750329,6,1,4,97,1,0,Tomb-sweeping Day,0,64.0,5.94,51.8,0.0,0.0,4.295916058266279
2019-04-08,102.25950389876625,0,11.197633525485875,11.197633525485875,0,0,4,98,0,1,,0,65.0,5.94,51.8,0.0,0.0,4.62751373826874
2019-04-09,104.47085047971815,0,15.366287115927197,15.366287115927197,1,0,4,99,0,1,,0,66.0,5.94,51.8,0.0,0.0,4.648908089715276
2019-04-10,102.47274422383367,0,12.679215942429478,12.679215942429478,2,0,4,100,0,1,,0,67.0,5.94,51.8,0.0,0.0,4.629596853206748
2019-04-11,103.32972227277683,0,12.293526445269759,12.293526445269759,3,0,4,101,0,1,,0,68.0,5.94,51.8,0.0,0.0,4.637925062453144
2019-04-12,105.98047938978293,0,20.064523633716654,20.064523633716654,4,0,4,102,0,1,,0,69.0,5.94,51.8,0.0,0.0,4.663254920452979
2019-04-13,84.81596773000285,0,15.586115835335686,15.586115835335686,5,1,4,103,1,0,,0,70.0,5.94,51.8,0.0,0.0,4.440483823774746
2019-04-14,86.24412666491158,0,16.39362609149275,16.39362609149275,6,1,4,104,1,0,,0,71.0,5.94,51.8,0.0,0.0,4.457181956954082
2019-04-15,102.60270203982093,0,17.17827527071492,17.17827527071492,0,0,4,105,0,1,,0,72.0,5.94,51.8,0.0,0.0,4.630864268060661
2019-04-16,103.7741140730812,0,17.657041432398874,17.657041432398874,1,0,4,106,0,1,,0,73.0,5.94,51.8,0.0,0.0,4.642216556905131
2019-04-17,102.64579062222731,0,18.027235410740705,18.027235410740705,2,0,4,107,0,1,,0,74.0,5.94,51.8,0.0,0.0,4.631284135534283
2019-04-18,103.6346088276119,0,17.200975423058,17.200975423058,3,0,4,108,0,1,,0,75.0,5.94,51.8,0.0,0.0,4.640871336081668
2019-04-19,105.51226525251951,0,21.84870879620923,21.84870879620923,4,0,4,109,0,1,,0,76.0,5.94,51.8,0.0,0.0,4.658827204476367
2019-04-20,83.25675841607179,0,19.96618448086699,19.96618448086699,5,1,4,110,1,0,,0,77.0,5.94,51.8,0.0,0.0,4.421929307740495
2019-04-21,86.05657005539534,0,21.102264910555434,21.102264910555434,6,1,4,111,1,0,,0,78.0,5.94,51.8,0.0,0.0,4.455004871345416
2019-04-22,104.67370628612002,0,13.545171720461564,13.545171720461564,0,0,4,112,0,1,,0,79.0,5.94,51.8,0.0,0.0,4.650847952489159
2019-04-23,103.4059408256519,0,18.277003931277505,18.277003931277505,1,0,4,113,0,1,,0,80.0,5.94,51.8,0.0,0.0,4.638662415217404
2019-04-24,102.10585583444352,0,17.085899544181956,17.085899544181956,2,0,4,114,0,1,,0,81.0,5.94,51.8,0.0,0.0,4.626010077438225
2019-04-25,104.5164748735564,0,22.94086795445068,22.94086795445068,3,0,4,115,0,1,,0,82.0,5.94,51.8,0.0,0.0,4.649344713271139
2019-04-26,103.60769720011737,0,18.677172164933,18.677172164933,4,0,4,116,0,1,,0,83.0,5.94,51.8,0.0,0.0,4.640611624363905
2019-04-27,85.96496889789951,0,21.767098465440952,21.767098465440952,5,1,4,117,1,0,,0,84.0,5.94,51.8,0.0,0.0,4.4539398748721695
2019-04-28,85.72146031295445,0,16.768287228289307,16.768287228289307,6,1,4,118,0,1,Labour Day,0,85.0,5.94,51.8,0.0,0.0,4.451103206309013
2019-04-29,107.04906803808748,0,20.600012354954675,20.600012354954675,0,0,4,119,0,1,,0,86.0,5.94,51.8,0.0,0.0,4.673287309141537
2019-04-30,104.195075559136,0,19.708230696224895,19.708230696224895,1,0,4,120,0,1,,0,87.0,5.94,51.8,0.0,0.0,4.646264868693249
2019-05-01,90.63788861396101,0,13.160161783240522,13.160161783240522,2,0,5,121,1,0,Labour Day,0,88.0,6.26,51.3,0.0,0.0,4.506872322251184
2019-05-02,92.32764006177909,0,21.0784949193804,21.0784949193804,3,0,5,122,1,0,Labour Day,0,89.0,6.26,51.3,0.0,0.0,4.525343555637442
2019-05-03,92.4127846582423,0,19.84733934331772,19.84733934331772,4,0,5,123,1,0,Labour Day,0,90.0,6.26,51.3,0.0,0.0,4.526265331178675
2019-05-04,77.09311849186565,0,17.890645929993926,17.890645929993926,5,1,5,124,1,0,Labour Day,0,91.0,6.26,51.3,0.0,0.0,4.3450140222650715
2019-05-05,86.95784514800286,0,18.62161732839717,18.62161732839717,6,1,5,125,0,1,Labour Day,0,92.0,6.26,51.3,0.0,0.0,4.465423462699155
2019-05-06,105.3273258020558,0,22.23142526164551,22.23142526164551,0,0,5,126,0,1,,0,93.0,6.26,51.3,0.0,0.0,4.657072889767543
2019-05-07,107.09896948469799,0,21.191850898244443,21.191850898244443,1,0,5,127,0,1,,0,94.0,6.26,51.3,0.0,0.0,4.673753355415796
2019-05-08,102.96144496572828,0,16.38195379766477,16.38195379766477,2,0,5,128,0,1,,0,95.0,6.26,51.3,0.0,0.0,4.634354597433062
2019-05-09,103.85633919730492,0,20.42829105170491,20.42829105170491,3,0,5,129,0,1,,0,96.0,6.26,51.3,0.0,0.0,4.6430085903205285
2019-05-10,103.43649961061801,0,21.381257621288274,21.381257621288274,4,0,5,130,0,1,,0,97.0,6.26,51.3,0.0,0.0,4.638957894086479
2019-05-11,85.53623973958625,0,22.478989384707635,22.478989384707635,5,1,5,131,1,0,,0,98.0,6.26,51.3,0.0,0.0,4.4489401427442266
2019-05-12,84.28786178028152,0,23.31121318089857,23.31121318089857,6,1,5,132,1,0,,0,99.0,6.26,51.3,0.0,0.0,4.434237866268977
2019-05-13,105.98906205997248,0,20.978191691797896,20.978191691797896,0,0,5,133,0,1,,0,100.0,6.26,51.3,0.0,0.0,4.6633359006743405
2019-05-14,104.66992112241914,0,23.958340886605967,23.958340886605967,1,0,5,134,0,1,,0,101.0,6.26,51.3,0.0,0.0,4.650811790283048
2019-05-15,102.73337902901551,0,22.463417926874595,22.463417926874595,2,0,5,135,0,1,,0,102.0,6.26,51.3,0.0,0.0,4.63213707901679
2019-05-16,103.48112866765224,0,21.57061019339413,21.57061019339413,3,0,5,136,0,1,,0,103.0,6.26,51.3,0.0,0.0,4.6393892643674715
2019-05-17,105.6069684681905,0,22.803963609249717,22.803963609249717,4,0,5,137,0,1,,0,104.0,6.26,51.3,0.0,0.0,4.659724358377071
2019-05-18,87.30137909608835,0,19.801789765754332,19.801789765754332,5,1,5,138,1,0,,0,105.0,6.26,51.3,0.0,0.0,4.469366259926834
2019-05-19,94.10602535785756,0,26.972434241503066,26.972434241503066,6,1,5,139,1,0,,0,106.0,6.26,51.3,2.9724342415030662,0.0,4.5444220759745395
2019-05-20,109.80222864265986,0,15.623634783110948,15.623634783110948,0,0,5,140,0,1,,0,107.0,6.26,51.3,0.0,0.0,4.698680826161427
2019-05-21,105.88826986496403,0,23.89788291112613,23.89788291112613,1,0,5,141,0,1,,0,108.0,6.26,51.3,0.0,0.0,4.66238448032469
2019-05-22,111.19818473697521,0,27.61446468004913,27.61446468004913,2,0,5,142,0,1,,0,109.0,6.26,51.3,3.6144646800491316,0.0,4.711314057375462
2019-05-23,102.95858103615805,0,24.506252926843104,24.506252926843104,3,0,5,143,0,1,,0,110.0,6.26,51.3,0.5062529268431035,0.0,4.634326781492806
2019-05-24,112.00720863766423,0,26.960210004555353,26.960210004555353,4,0,5,144,0,1,,0,111.0,6.26,51.3,2.9602100045553534,0.0,4.718563232060184
2019-05-25,85.33613715157387,0,23.755274080845805,23.755274080845805,5,1,5,145,1,0,,0,112.0,6.26,51.3,0.0,0.0,4.446598012516672
2019-05-26,85.87527736086645,0,20.508033475828586,20.508033475828586,6,1,5,146,1,0,,0,113.0,6.26,51.3,0.0,0.0,4.452895980358159
2019-05-27,119.59951847555894,0,31.255386945793337,31.255386945793337,0,0,5,147,0,1,,0,114.0,6.26,51.3,7.255386945793337,0.0,4.784148815384337
2019-05-28,113.37473174902082,0,27.876052301339932,27.876052301339932,1,0,5,148,0,1,,0,115.0,6.26,51.3,3.876052301339932,0.0,4.730698542381969
2019-05-29,111.90055418583012,0,26.213796080262178,26.213796080262178,2,0,5,149,0,1,,0,116.0,6.26,51.3,2.2137960802621777,0.0,4.717610567815268
2019-05-30,109.08378606507122,0,25.577743113435233,25.577743113435233,3,0,5,150,0,1,,0,117.0,6.26,51.3,1.5777431134352327,0.0,4.692116266442435
2019-05-31,105.27590706193386,0,22.703870054205286,22.703870054205286,4,0,5,151,0,1,,0,118.0,6.26,51.3,0.0,0.0,4.656584590129931
2019-06-01,85.86568349349783,0,24.384253649488198,24.384253649488198,5,1,6,152,1,0,,0,119.0,6.24,51.3,0.3842536494881976,0.0,4.452784255498453
2019-06-02,84.40375131632338,0,22.06329922820699,22.06329922820699,6,1,6,153,1,0,,0,120.0,6.24,51.3,0.0,0.0,4.435611847490048
2019-06-03,108.28859696122647,0,25.644009047165866,25.644009047165866,0,0,6,154,0,1,,0,121.0,6.24,51.3,1.6440090471658664,0.0,4.6847998572466905
2019-06-04,117.52830336169798,0,29.671856554582245,29.671856554582245,1,0,6,155,0,1,,0,122.0,6.24,51.3,5.671856554582245,0.0,4.766679184251388
2019-06-05,110.92870775067126,0,25.13350403188765,25.13350403188765,2,0,6,156,0,1,,0,123.0,6.24,51.3,1.1335040318876501,0.0,4.708887722450508
2019-06-06,105.90165016609498,0,23.2372649392637,23.2372649392637,3,0,6,157,0,1,,0,124.0,6.24,51.3,0.0,0.0,4.662510834790916
2019-06-07,100.79294482662952,0,27.3819667935911,27.3819667935911,4,0,6,158,1,0,Dragon Boat Festival,0,125.0,6.24,51.3,3.3819667935911006,0.0,4.613068361388418
2019-06-08,75.73756845508322,0,23.281178721522163,23.281178721522163,5,1,6,159,1,0,Dragon Boat Festival,0,126.0,6.24,51.3,0.0,0.0,4.3272743181173166
2019-06-09,82.43098557167933,0,28.974537419642882,28.974537419642882,6,1,6,160,1,0,Dragon Boat Festival,0,127.0,6.24,51.3,4.974537419642882,0.0,4.411961404721926
2019-06-10,104.34314068014646,0,24.03401776678235,24.03401776678235,0,0,6,161,0,1,,0,128.0,6.24,51.3,0.03401776678234825,0.0,4.647684897583508
2019-06-11,113.71340451824344,0,28.315078234436196,28.315078234436196,1,0,6,162,0,1,,0,129.0,6.24,51.3,4.315078234436196,0.0,4.7336812875476175
2019-06-12,109.23699795348783,0,23.698285009395228,23.698285009395228,2,0,6,163,0,1,,0,130.0,6.24,51.3,0.0,0.0,4.693519815025837
2019-06-13,122.37151948593157,0,32.50664745009478,32.50664745009478,3,0,6,164,0,1,,0,131.0,6.24,51.3,8.506647450094782,0.0,4.807061659064651
2019-06-14,122.23298569428937,0,30.989287898969685,30.989287898969685,4,0,6,165,0,1,,0,132.0,6.24,51.3,6.989287898969685,0.0,4.805928942344226
2019-06-15,93.496688423025,0,28.554502491436008,28.554502491436008,5,1,6,166,1,0,,0,133.0,6.24,51.3,4.554502491436008,0.0,4.53792601773185
2019-06-16,95.75059365940967,0,28.340127572367628,28.340127572367628,6,1,6,167,1,0,,0,134.0,6.24,51.3,4.340127572367628,0.0,4.561746828139809
2019-06-17,122.23263891453561,0,31.33248508005354,31.33248508005354,0,0,6,168,0,1,,0,135.0,6.24,51.3,7.332485080053541,0.0,4.805926105301151
2019-06-18,121.93224855902912,0,31.643379657393126,31.643379657393126,1,0,6,169,0,1,,0,136.0,6.24,51.3,7.643379657393126,0.0,4.803465550794974
2019-06-19,116.51176671804782,0,28.97187397811993,28.97187397811993,2,0,6,170,0,1,,0,137.0,6.24,51.3,4.97187397811993,0.0,4.7579922697770645
2019-06-20,119.30439930946912,0,30.799543897458506,30.799543897458506,3,0,6,171,0,1,,0,138.0,6.24,51.3,6.799543897458506,0.0,4.78167820444634
2019-06-21,116.24089224891489,0,28.42040961514723,28.42040961514723,4,0,6,172,0,1,,0,139.0,6.24,51.3,4.4204096151472285,0.0,4.755664695152345
