relationship_id,source_id,relationship_type,target_id,description,evidence_level,weight
r_anomaly_time_2024-01,anomaly_2024-01,AT_TIME,month_2024-01,,rule-based,
r_anomaly_holiday_2024-01,anomaly_2024-01,CANDIDATE_CAUSE,concept_holiday_shift,需合并1—2月验证,context-supported,
r_month_q_2024-01,month_2024-01,IN_QUARTER,quarter_2024-Q1,,schema,
r_month_region_2024-02,month_2024-02,IN_REGION,region_js,,schema,
r_obs_ind_0011,obs_0011,MEASURES,ind_consumption,,observed,
r_obs_time_0011,obs_0011,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0011,obs_0011,FROM_SOURCE,source_003,,observed,
r_obs_ind_0012,obs_0012,MEASURES,ind_generation,,observed,
r_obs_time_0012,obs_0012,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0012,obs_0012,FROM_SOURCE,source_003,,observed,
r_obs_ind_0013,obs_0013,MEASURES,ind_capacity,,observed,
r_obs_time_0013,obs_0013,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0013,obs_0013,FROM_SOURCE,source_003,,observed,
r_obs_ind_0014,obs_0014,MEASURES,ind_peak_load,,observed,
r_obs_time_0014,obs_0014,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0014,obs_0014,FROM_SOURCE,source_003,,observed,
r_obs_ind_0015,obs_0015,MEASURES,ind_mean_temp,,observed,
r_obs_time_0015,obs_0015,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0015,obs_0015,FROM_SOURCE,source_002,,observed,
r_obs_ind_0016,obs_0016,MEASURES,ind_hot_days,,observed,
r_obs_time_0016,obs_0016,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0016,obs_0016,FROM_SOURCE,source_002,,observed,
r_obs_ind_0017,obs_0017,MEASURES,ind_cdd18,,observed,
r_obs_time_0017,obs_0017,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0017,obs_0017,FROM_SOURCE,source_002,,observed,
r_obs_ind_0018,obs_0018,MEASURES,ind_hdd18,,observed,
r_obs_time_0018,obs_0018,AT_TIME,month_2024-02,,observed,
r_obs_source_obs_0018,obs_0018,FROM_SOURCE,source_002,,observed,
r_obs_ind_0019,obs_0019,MEASURES,ind_workdays,,observed,
r_obs_time_0019,obs_0019,AT_TIME,month_2024-02,,observed,
r_obs_ind_0020,obs_0020,MEASURES,ind_holiday_days,,observed,
r_obs_time_0020,obs_0020,AT_TIME,month_2024-02,,observed,
r_anomaly_time_2024-02,anomaly_2024-02,AT_TIME,month_2024-02,,rule-based,
r_anomaly_holiday_2024-02,anomaly_2024-02,CANDIDATE_CAUSE,concept_holiday_shift,需合并1—2月验证,context-supported,
r_month_q_2024-02,month_2024-02,IN_QUARTER,quarter_2024-Q1,,schema,
r_month_region_2024-03,month_2024-03,IN_REGION,region_js,,schema,
r_obs_ind_0021,obs_0021,MEASURES,ind_consumption,,observed,
r_obs_time_0021,obs_0021,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0021,obs_0021,FROM_SOURCE,source_004,,observed,
r_obs_ind_0022,obs_0022,MEASURES,ind_generation,,observed,
r_obs_time_0022,obs_0022,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0022,obs_0022,FROM_SOURCE,source_004,,observed,
r_obs_ind_0023,obs_0023,MEASURES,ind_capacity,,observed,
r_obs_time_0023,obs_0023,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0023,obs_0023,FROM_SOURCE,source_004,,observed,
r_obs_ind_0024,obs_0024,MEASURES,ind_peak_load,,observed,
r_obs_time_0024,obs_0024,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0024,obs_0024,FROM_SOURCE,source_004,,observed,
r_obs_ind_0025,obs_0025,MEASURES,ind_mean_temp,,observed,
r_obs_time_0025,obs_0025,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0025,obs_0025,FROM_SOURCE,source_002,,observed,
r_obs_ind_0026,obs_0026,MEASURES,ind_hot_days,,observed,
r_obs_time_0026,obs_0026,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0026,obs_0026,FROM_SOURCE,source_002,,observed,
r_obs_ind_0027,obs_0027,MEASURES,ind_cdd18,,observed,
r_obs_time_0027,obs_0027,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0027,obs_0027,FROM_SOURCE,source_002,,observed,
r_obs_ind_0028,obs_0028,MEASURES,ind_hdd18,,observed,
r_obs_time_0028,obs_0028,AT_TIME,month_2024-03,,observed,
r_obs_source_obs_0028,obs_0028,FROM_SOURCE,source_002,,observed,
r_obs_ind_0029,obs_0029,MEASURES,ind_workdays,,observed,
r_obs_time_0029,obs_0029,AT_TIME,month_2024-03,,observed,
r_obs_ind_0030,obs_0030,MEASURES,ind_holiday_days,,observed,
r_obs_time_0030,obs_0030,AT_TIME,month_2024-03,,observed,
r_anomaly_time_2024-03,anomaly_2024-03,AT_TIME,month_2024-03,,rule-based,
r_month_q_2024-03,month_2024-03,IN_QUARTER,quarter_2024-Q1,,schema,
r_month_region_2024-04,month_2024-04,IN_REGION,region_js,,schema,
r_obs_ind_0031,obs_0031,MEASURES,ind_consumption,,observed,
r_obs_time_0031,obs_0031,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0031,obs_0031,FROM_SOURCE,source_005,,observed,
r_obs_ind_0032,obs_0032,MEASURES,ind_generation,,observed,
r_obs_time_0032,obs_0032,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0032,obs_0032,FROM_SOURCE,source_005,,observed,
r_obs_ind_0033,obs_0033,MEASURES,ind_capacity,,observed,
r_obs_time_0033,obs_0033,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0033,obs_0033,FROM_SOURCE,source_005,,observed,
r_obs_ind_0034,obs_0034,MEASURES,ind_peak_load,,observed,
r_obs_time_0034,obs_0034,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0034,obs_0034,FROM_SOURCE,source_005,,observed,
r_obs_ind_0035,obs_0035,MEASURES,ind_mean_temp,,observed,
r_obs_time_0035,obs_0035,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0035,obs_0035,FROM_SOURCE,source_002,,observed,
r_obs_ind_0036,obs_0036,MEASURES,ind_hot_days,,observed,
r_obs_time_0036,obs_0036,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0036,obs_0036,FROM_SOURCE,source_002,,observed,
r_obs_ind_0037,obs_0037,MEASURES,ind_cdd18,,observed,
r_obs_time_0037,obs_0037,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0037,obs_0037,FROM_SOURCE,source_002,,observed,
r_obs_ind_0038,obs_0038,MEASURES,ind_hdd18,,observed,
r_obs_time_0038,obs_0038,AT_TIME,month_2024-04,,observed,
r_obs_source_obs_0038,obs_0038,FROM_SOURCE,source_002,,observed,
r_obs_ind_0039,obs_0039,MEASURES,ind_workdays,,observed,
r_obs_time_0039,obs_0039,AT_TIME,month_2024-04,,observed,
r_obs_ind_0040,obs_0040,MEASURES,ind_holiday_days,,observed,
r_obs_time_0040,obs_0040,AT_TIME,month_2024-04,,observed,
r_anomaly_time_2024-04,anomaly_2024-04,AT_TIME,month_2024-04,,rule-based,
r_month_q_2024-04,month_2024-04,IN_QUARTER,quarter_2024-Q2,,schema,
r_month_region_2024-05,month_2024-05,IN_REGION,region_js,,schema,
r_obs_ind_0041,obs_0041,MEASURES,ind_consumption,,observed,
r_obs_time_0041,obs_0041,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0041,obs_0041,FROM_SOURCE,source_006,,observed,
r_obs_ind_0042,obs_0042,MEASURES,ind_generation,,observed,
r_obs_time_0042,obs_0042,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0042,obs_0042,FROM_SOURCE,source_006,,observed,
r_obs_ind_0043,obs_0043,MEASURES,ind_capacity,,observed,
r_obs_time_0043,obs_0043,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0043,obs_0043,FROM_SOURCE,source_006,,observed,
r_obs_ind_0044,obs_0044,MEASURES,ind_peak_load,,observed,
r_obs_time_0044,obs_0044,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0044,obs_0044,FROM_SOURCE,source_006,,observed,
r_obs_ind_0045,obs_0045,MEASURES,ind_mean_temp,,observed,
r_obs_time_0045,obs_0045,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0045,obs_0045,FROM_SOURCE,source_002,,observed,
r_obs_ind_0046,obs_0046,MEASURES,ind_hot_days,,observed,
r_obs_time_0046,obs_0046,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0046,obs_0046,FROM_SOURCE,source_002,,observed,
r_obs_ind_0047,obs_0047,MEASURES,ind_cdd18,,observed,
r_obs_time_0047,obs_0047,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0047,obs_0047,FROM_SOURCE,source_002,,observed,
r_obs_ind_0048,obs_0048,MEASURES,ind_hdd18,,observed,
r_obs_time_0048,obs_0048,AT_TIME,month_2024-05,,observed,
r_obs_source_obs_0048,obs_0048,FROM_SOURCE,source_002,,observed,
r_obs_ind_0049,obs_0049,MEASURES,ind_workdays,,observed,
r_obs_time_0049,obs_0049,AT_TIME,month_2024-05,,observed,
r_obs_ind_0050,obs_0050,MEASURES,ind_holiday_days,,observed,
r_obs_time_0050,obs_0050,AT_TIME,month_2024-05,,observed,
r_anomaly_time_2024-05,anomaly_2024-05,AT_TIME,month_2024-05,,rule-based,
r_month_q_2024-05,month_2024-05,IN_QUARTER,quarter_2024-Q2,,schema,
r_month_region_2024-06,month_2024-06,IN_REGION,region_js,,schema,
r_obs_ind_0051,obs_0051,MEASURES,ind_consumption,,observed,
r_obs_time_0051,obs_0051,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0051,obs_0051,FROM_SOURCE,source_007,,observed,
r_obs_ind_0052,obs_0052,MEASURES,ind_generation,,observed,
r_obs_time_0052,obs_0052,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0052,obs_0052,FROM_SOURCE,source_007,,observed,
r_obs_ind_0053,obs_0053,MEASURES,ind_capacity,,observed,
r_obs_time_0053,obs_0053,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0053,obs_0053,FROM_SOURCE,source_007,,observed,
r_obs_ind_0054,obs_0054,MEASURES,ind_peak_load,,observed,
r_obs_time_0054,obs_0054,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0054,obs_0054,FROM_SOURCE,source_007,,observed,
r_obs_ind_0055,obs_0055,MEASURES,ind_mean_temp,,observed,
r_obs_time_0055,obs_0055,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0055,obs_0055,FROM_SOURCE,source_002,,observed,
r_obs_ind_0056,obs_0056,MEASURES,ind_hot_days,,observed,
r_obs_time_0056,obs_0056,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0056,obs_0056,FROM_SOURCE,source_002,,observed,
r_obs_ind_0057,obs_0057,MEASURES,ind_cdd18,,observed,
r_obs_time_0057,obs_0057,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0057,obs_0057,FROM_SOURCE,source_002,,observed,
r_obs_ind_0058,obs_0058,MEASURES,ind_hdd18,,observed,
r_obs_time_0058,obs_0058,AT_TIME,month_2024-06,,observed,
r_obs_source_obs_0058,obs_0058,FROM_SOURCE,source_002,,observed,
r_obs_ind_0059,obs_0059,MEASURES,ind_workdays,,observed,
r_obs_time_0059,obs_0059,AT_TIME,month_2024-06,,observed,
r_obs_ind_0060,obs_0060,MEASURES,ind_holiday_days,,observed,
r_obs_time_0060,obs_0060,AT_TIME,month_2024-06,,observed,
r_anomaly_time_2024-06,anomaly_2024-06,AT_TIME,month_2024-06,,rule-based,
r_month_q_2024-06,month_2024-06,IN_QUARTER,quarter_2024-Q2,,schema,
r_month_region_2024-07,month_2024-07,IN_REGION,region_js,,schema,
r_obs_ind_0061,obs_0061,MEASURES,ind_consumption,,observed,
r_obs_time_0061,obs_0061,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0061,obs_0061,FROM_SOURCE,source_008,,observed,
r_obs_ind_0062,obs_0062,MEASURES,ind_generation,,observed,
r_obs_time_0062,obs_0062,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0062,obs_0062,FROM_SOURCE,source_008,,observed,
r_obs_ind_0063,obs_0063,MEASURES,ind_capacity,,observed,
r_obs_time_0063,obs_0063,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0063,obs_0063,FROM_SOURCE,source_008,,observed,
r_obs_ind_0064,obs_0064,MEASURES,ind_peak_load,,observed,
r_obs_time_0064,obs_0064,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0064,obs_0064,FROM_SOURCE,source_008,,observed,
r_obs_ind_0065,obs_0065,MEASURES,ind_mean_temp,,observed,
r_obs_time_0065,obs_0065,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0065,obs_0065,FROM_SOURCE,source_002,,observed,
r_obs_ind_0066,obs_0066,MEASURES,ind_hot_days,,observed,
r_obs_time_0066,obs_0066,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0066,obs_0066,FROM_SOURCE,source_002,,observed,
r_obs_ind_0067,obs_0067,MEASURES,ind_cdd18,,observed,
r_obs_time_0067,obs_0067,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0067,obs_0067,FROM_SOURCE,source_002,,observed,
r_obs_ind_0068,obs_0068,MEASURES,ind_hdd18,,observed,
r_obs_time_0068,obs_0068,AT_TIME,month_2024-07,,observed,
r_obs_source_obs_0068,obs_0068,FROM_SOURCE,source_002,,observed,
r_obs_ind_0069,obs_0069,MEASURES,ind_workdays,,observed,
r_obs_time_0069,obs_0069,AT_TIME,month_2024-07,,observed,
r_obs_ind_0070,obs_0070,MEASURES,ind_holiday_days,,observed,
r_obs_time_0070,obs_0070,AT_TIME,month_2024-07,,observed,
r_anomaly_time_2024-07,anomaly_2024-07,AT_TIME,month_2024-07,,rule-based,
r_anomaly_hot_2024-07,anomaly_2024-07,CANDIDATE_CAUSE,concept_high_temp,南京代表点高温证据,proxy-supported,
r_month_q_2024-07,month_2024-07,IN_QUARTER,quarter_2024-Q3,,schema,
r_month_region_2024-08,month_2024-08,IN_REGION,region_js,,schema,
r_obs_ind_0071,obs_0071,MEASURES,ind_consumption,,observed,
r_obs_time_0071,obs_0071,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0071,obs_0071,FROM_SOURCE,source_009,,observed,
r_obs_ind_0072,obs_0072,MEASURES,ind_generation,,observed,
r_obs_time_0072,obs_0072,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0072,obs_0072,FROM_SOURCE,source_009,,observed,
r_obs_ind_0073,obs_0073,MEASURES,ind_capacity,,observed,
r_obs_time_0073,obs_0073,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0073,obs_0073,FROM_SOURCE,source_009,,observed,
r_obs_ind_0074,obs_0074,MEASURES,ind_peak_load,,observed,
r_obs_time_0074,obs_0074,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0074,obs_0074,FROM_SOURCE,source_009,,observed,
r_obs_ind_0075,obs_0075,MEASURES,ind_mean_temp,,observed,
r_obs_time_0075,obs_0075,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0075,obs_0075,FROM_SOURCE,source_002,,observed,
r_obs_ind_0076,obs_0076,MEASURES,ind_hot_days,,observed,
r_obs_time_0076,obs_0076,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0076,obs_0076,FROM_SOURCE,source_002,,observed,
r_obs_ind_0077,obs_0077,MEASURES,ind_cdd18,,observed,
r_obs_time_0077,obs_0077,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0077,obs_0077,FROM_SOURCE,source_002,,observed,
r_obs_ind_0078,obs_0078,MEASURES,ind_hdd18,,observed,
r_obs_time_0078,obs_0078,AT_TIME,month_2024-08,,observed,
r_obs_source_obs_0078,obs_0078,FROM_SOURCE,source_002,,observed,
r_obs_ind_0079,obs_0079,MEASURES,ind_workdays,,observed,
r_obs_time_0079,obs_0079,AT_TIME,month_2024-08,,observed,
r_obs_ind_0080,obs_0080,MEASURES,ind_holiday_days,,observed,
r_obs_time_0080,obs_0080,AT_TIME,month_2024-08,,observed,
r_anomaly_time_2024-08,anomaly_2024-08,AT_TIME,month_2024-08,,rule-based,
r_anomaly_hot_2024-08,anomaly_2024-08,CANDIDATE_CAUSE,concept_high_temp,南京代表点高温证据,proxy-supported,
r_month_q_2024-08,month_2024-08,IN_QUARTER,quarter_2024-Q3,,schema,
r_month_region_2024-09,month_2024-09,IN_REGION,region_js,,schema,
r_obs_ind_0081,obs_0081,MEASURES,ind_consumption,,observed,
r_obs_time_0081,obs_0081,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0081,obs_0081,FROM_SOURCE,source_010,,observed,
r_obs_ind_0082,obs_0082,MEASURES,ind_generation,,observed,
r_obs_time_0082,obs_0082,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0082,obs_0082,FROM_SOURCE,source_010,,observed,
r_obs_ind_0083,obs_0083,MEASURES,ind_capacity,,observed,
r_obs_time_0083,obs_0083,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0083,obs_0083,FROM_SOURCE,source_010,,observed,
r_obs_ind_0084,obs_0084,MEASURES,ind_peak_load,,observed,
r_obs_time_0084,obs_0084,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0084,obs_0084,FROM_SOURCE,source_010,,observed,
r_obs_ind_0085,obs_0085,MEASURES,ind_mean_temp,,observed,
r_obs_time_0085,obs_0085,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0085,obs_0085,FROM_SOURCE,source_002,,observed,
r_obs_ind_0086,obs_0086,MEASURES,ind_hot_days,,observed,
r_obs_time_0086,obs_0086,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0086,obs_0086,FROM_SOURCE,source_002,,observed,
r_obs_ind_0087,obs_0087,MEASURES,ind_cdd18,,observed,
r_obs_time_0087,obs_0087,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0087,obs_0087,FROM_SOURCE,source_002,,observed,
r_obs_ind_0088,obs_0088,MEASURES,ind_hdd18,,observed,
r_obs_time_0088,obs_0088,AT_TIME,month_2024-09,,observed,
r_obs_source_obs_0088,obs_0088,FROM_SOURCE,source_002,,observed,
r_obs_ind_0089,obs_0089,MEASURES,ind_workdays,,observed,
r_obs_time_0089,obs_0089,AT_TIME,month_2024-09,,observed,
r_obs_ind_0090,obs_0090,MEASURES,ind_holiday_days,,observed,
r_obs_time_0090,obs_0090,AT_TIME,month_2024-09,,observed,
r_anomaly_time_2024-09,anomaly_2024-09,AT_TIME,month_2024-09,,rule-based,
r_month_q_2024-09,month_2024-09,IN_QUARTER,quarter_2024-Q3,,schema,
r_month_region_2024-10,month_2024-10,IN_REGION,region_js,,schema,
r_obs_ind_0091,obs_0091,MEASURES,ind_consumption,,observed,
r_obs_time_0091,obs_0091,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0091,obs_0091,FROM_SOURCE,source_011,,observed,
r_obs_ind_0092,obs_0092,MEASURES,ind_generation,,observed,
r_obs_time_0092,obs_0092,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0092,obs_0092,FROM_SOURCE,source_011,,observed,
r_obs_ind_0093,obs_0093,MEASURES,ind_capacity,,observed,
r_obs_time_0093,obs_0093,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0093,obs_0093,FROM_SOURCE,source_011,,observed,
r_obs_ind_0094,obs_0094,MEASURES,ind_peak_load,,observed,
r_obs_time_0094,obs_0094,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0094,obs_0094,FROM_SOURCE,source_011,,observed,
r_obs_ind_0095,obs_0095,MEASURES,ind_mean_temp,,observed,
r_obs_time_0095,obs_0095,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0095,obs_0095,FROM_SOURCE,source_002,,observed,
r_obs_ind_0096,obs_0096,MEASURES,ind_hot_days,,observed,
r_obs_time_0096,obs_0096,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0096,obs_0096,FROM_SOURCE,source_002,,observed,
r_obs_ind_0097,obs_0097,MEASURES,ind_cdd18,,observed,
r_obs_time_0097,obs_0097,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0097,obs_0097,FROM_SOURCE,source_002,,observed,
r_obs_ind_0098,obs_0098,MEASURES,ind_hdd18,,observed,
r_obs_time_0098,obs_0098,AT_TIME,month_2024-10,,observed,
r_obs_source_obs_0098,obs_0098,FROM_SOURCE,source_002,,observed,
r_obs_ind_0099,obs_0099,MEASURES,ind_workdays,,observed,
r_obs_time_0099,obs_0099,AT_TIME,month_2024-10,,observed,
r_obs_ind_0100,obs_0100,MEASURES,ind_holiday_days,,observed,
r_obs_time_0100,obs_0100,AT_TIME,month_2024-10,,observed,
r_anomaly_time_2024-10,anomaly_2024-10,AT_TIME,month_2024-10,,rule-based,
r_month_q_2024-10,month_2024-10,IN_QUARTER,quarter_2024-Q4,,schema,
r_month_region_2024-11,month_2024-11,IN_REGION,region_js,,schema,
r_obs_ind_0101,obs_0101,MEASURES,ind_consumption,,observed,
r_obs_time_0101,obs_0101,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0101,obs_0101,FROM_SOURCE,source_012,,observed,
r_obs_ind_0102,obs_0102,MEASURES,ind_generation,,observed,
r_obs_time_0102,obs_0102,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0102,obs_0102,FROM_SOURCE,source_012,,observed,
r_obs_ind_0103,obs_0103,MEASURES,ind_capacity,,observed,
r_obs_time_0103,obs_0103,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0103,obs_0103,FROM_SOURCE,source_012,,observed,
r_obs_ind_0104,obs_0104,MEASURES,ind_peak_load,,observed,
r_obs_time_0104,obs_0104,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0104,obs_0104,FROM_SOURCE,source_012,,observed,
r_obs_ind_0105,obs_0105,MEASURES,ind_mean_temp,,observed,
r_obs_time_0105,obs_0105,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0105,obs_0105,FROM_SOURCE,source_002,,observed,
r_obs_ind_0106,obs_0106,MEASURES,ind_hot_days,,observed,
r_obs_time_0106,obs_0106,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0106,obs_0106,FROM_SOURCE,source_002,,observed,
r_obs_ind_0107,obs_0107,MEASURES,ind_cdd18,,observed,
r_obs_time_0107,obs_0107,AT_TIME,month_2024-11,,observed,
r_obs_source_obs_0107,obs_0107,FROM_SOURCE,source_002,,observed,
r_obs_ind_0108,obs_0108,MEASURES,ind_hdd18,,observed,
r_obs_time_0108,obs_0108,AT_TIME,month_2024-11,,observed,
