id,source_id,target_id,type,description,direction,lag,confidence,provenance
rel-000027,event-2021-new-year,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000028,event-2021-spring-festival,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000029,event-2021-qingming,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000030,event-2021-labor,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000031,event-2021-dragon-boat,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000032,event-2021-mid-autumn,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000033,event-2021-national,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000034,event-2022-new-year,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000035,event-2022-spring-festival,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000036,event-2022-qingming,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000037,event-2022-labor,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000038,event-2022-dragon-boat,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000039,event-2022-mid-autumn,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000040,event-2022-national,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000041,event-2023-new-year,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000042,event-2023-spring-festival,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000043,event-2023-qingming,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000044,event-2023-labor,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000045,event-2023-dragon-boat,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000046,event-2023-mid-autumn-national,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000047,event-2024-new-year,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000048,event-2024-spring-festival,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000049,event-2024-qingming,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000050,event-2024-labor,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000051,event-2024-dragon-boat,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000052,event-2024-mid-autumn,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000053,event-2024-national,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000054,event-2025-new-year,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000055,event-2025-spring-festival,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000056,event-2025-qingming,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000057,event-2025-labor,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000058,event-2025-dragon-boat,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000059,event-2025-national-mid-autumn,region-zhejiang,OCCURS_IN,全国统一节假日安排在浙江适用,,,official-notice,source-holiday-docx
rel-000060,obs-power-2021-01,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000061,obs-power-2021-01,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000062,obs-power-2021-01,period-2021-01,AT_TIME,观测统计期,,,,
rel-000063,obs-power-2021-01,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000064,obs-power-2021-02,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000065,obs-power-2021-02,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000066,obs-power-2021-02,period-2021-02,AT_TIME,观测统计期,,,,
rel-000067,obs-power-2021-02,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000068,obs-power-2021-03,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000069,obs-power-2021-03,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000070,obs-power-2021-03,period-2021-03,AT_TIME,观测统计期,,,,
rel-000071,obs-power-2021-03,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000072,obs-power-2021-04,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000073,obs-power-2021-04,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000074,obs-power-2021-04,period-2021-04,AT_TIME,观测统计期,,,,
rel-000075,obs-power-2021-04,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000076,obs-power-2021-05,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000077,obs-power-2021-05,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000078,obs-power-2021-05,period-2021-05,AT_TIME,观测统计期,,,,
rel-000079,obs-power-2021-05,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000080,obs-power-2021-06,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000081,obs-power-2021-06,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000082,obs-power-2021-06,period-2021-06,AT_TIME,观测统计期,,,,
rel-000083,obs-power-2021-06,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000084,obs-power-2021-07,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000085,obs-power-2021-07,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000086,obs-power-2021-07,period-2021-07,AT_TIME,观测统计期,,,,
rel-000087,obs-power-2021-07,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000088,obs-power-2021-08,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000089,obs-power-2021-08,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000090,obs-power-2021-08,period-2021-08,AT_TIME,观测统计期,,,,
rel-000091,obs-power-2021-08,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000092,obs-power-2021-09,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000093,obs-power-2021-09,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000094,obs-power-2021-09,period-2021-09,AT_TIME,观测统计期,,,,
rel-000095,obs-power-2021-09,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000096,obs-power-2021-10,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000097,obs-power-2021-10,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000098,obs-power-2021-10,period-2021-10,AT_TIME,观测统计期,,,,
rel-000099,obs-power-2021-10,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000100,obs-power-2021-11,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000101,obs-power-2021-11,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000102,obs-power-2021-11,period-2021-11,AT_TIME,观测统计期,,,,
rel-000103,obs-power-2021-11,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000104,obs-power-2021-12,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000105,obs-power-2021-12,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000106,obs-power-2021-12,period-2021-12,AT_TIME,观测统计期,,,,
rel-000107,obs-power-2021-12,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000108,obs-power-2022-01,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000109,obs-power-2022-01,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000110,obs-power-2022-01,period-2022-01,AT_TIME,观测统计期,,,,
rel-000111,obs-power-2022-01,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000112,obs-power-2022-02,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000113,obs-power-2022-02,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000114,obs-power-2022-02,period-2022-02,AT_TIME,观测统计期,,,,
rel-000115,obs-power-2022-02,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000116,obs-power-2022-03,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000117,obs-power-2022-03,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000118,obs-power-2022-03,period-2022-03,AT_TIME,观测统计期,,,,
rel-000119,obs-power-2022-03,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000120,obs-power-2022-04,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000121,obs-power-2022-04,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000122,obs-power-2022-04,period-2022-04,AT_TIME,观测统计期,,,,
rel-000123,obs-power-2022-04,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000124,obs-power-2022-05,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000125,obs-power-2022-05,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000126,obs-power-2022-05,period-2022-05,AT_TIME,观测统计期,,,,
rel-000127,obs-power-2022-05,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000128,obs-power-2022-06,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000129,obs-power-2022-06,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000130,obs-power-2022-06,period-2022-06,AT_TIME,观测统计期,,,,
rel-000131,obs-power-2022-06,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000132,obs-power-2022-07,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000133,obs-power-2022-07,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000134,obs-power-2022-07,period-2022-07,AT_TIME,观测统计期,,,,
rel-000135,obs-power-2022-07,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000136,obs-power-2022-08,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000137,obs-power-2022-08,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000138,obs-power-2022-08,period-2022-08,AT_TIME,观测统计期,,,,
rel-000139,obs-power-2022-08,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000140,obs-power-2022-09,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000141,obs-power-2022-09,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000142,obs-power-2022-09,period-2022-09,AT_TIME,观测统计期,,,,
rel-000143,obs-power-2022-09,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000144,obs-power-2022-10,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000145,obs-power-2022-10,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000146,obs-power-2022-10,period-2022-10,AT_TIME,观测统计期,,,,
rel-000147,obs-power-2022-10,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000148,obs-power-2022-11,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000149,obs-power-2022-11,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000150,obs-power-2022-11,period-2022-11,AT_TIME,观测统计期,,,,
rel-000151,obs-power-2022-11,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000152,obs-power-2022-12,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000153,obs-power-2022-12,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000154,obs-power-2022-12,period-2022-12,AT_TIME,观测统计期,,,,
rel-000155,obs-power-2022-12,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000156,obs-power-2023-01,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000157,obs-power-2023-01,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000158,obs-power-2023-01,period-2023-01,AT_TIME,观测统计期,,,,
rel-000159,obs-power-2023-01,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000160,obs-power-2023-02,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000161,obs-power-2023-02,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000162,obs-power-2023-02,period-2023-02,AT_TIME,观测统计期,,,,
rel-000163,obs-power-2023-02,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000164,obs-power-2023-03,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000165,obs-power-2023-03,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000166,obs-power-2023-03,period-2023-03,AT_TIME,观测统计期,,,,
rel-000167,obs-power-2023-03,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000168,obs-power-2023-04,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000169,obs-power-2023-04,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000170,obs-power-2023-04,period-2023-04,AT_TIME,观测统计期,,,,
rel-000171,obs-power-2023-04,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000172,obs-power-2023-05,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000173,obs-power-2023-05,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000174,obs-power-2023-05,period-2023-05,AT_TIME,观测统计期,,,,
rel-000175,obs-power-2023-05,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000176,obs-power-2023-06,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000177,obs-power-2023-06,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000178,obs-power-2023-06,period-2023-06,AT_TIME,观测统计期,,,,
rel-000179,obs-power-2023-06,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000180,obs-power-2023-07,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000181,obs-power-2023-07,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000182,obs-power-2023-07,period-2023-07,AT_TIME,观测统计期,,,,
rel-000183,obs-power-2023-07,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000184,obs-power-2023-08,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000185,obs-power-2023-08,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000186,obs-power-2023-08,period-2023-08,AT_TIME,观测统计期,,,,
rel-000187,obs-power-2023-08,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000188,obs-power-2023-09,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000189,obs-power-2023-09,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000190,obs-power-2023-09,period-2023-09,AT_TIME,观测统计期,,,,
rel-000191,obs-power-2023-09,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000192,obs-power-2023-10,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000193,obs-power-2023-10,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000194,obs-power-2023-10,period-2023-10,AT_TIME,观测统计期,,,,
rel-000195,obs-power-2023-10,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000196,obs-power-2023-11,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000197,obs-power-2023-11,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000198,obs-power-2023-11,period-2023-11,AT_TIME,观测统计期,,,,
rel-000199,obs-power-2023-11,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000200,obs-power-2023-12,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000201,obs-power-2023-12,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000202,obs-power-2023-12,period-2023-12,AT_TIME,观测统计期,,,,
rel-000203,obs-power-2023-12,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000204,obs-power-2024-01,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000205,obs-power-2024-01,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000206,obs-power-2024-01,period-2024-01,AT_TIME,观测统计期,,,,
rel-000207,obs-power-2024-01,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000208,obs-power-2024-02,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000209,obs-power-2024-02,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000210,obs-power-2024-02,period-2024-02,AT_TIME,观测统计期,,,,
rel-000211,obs-power-2024-02,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000212,obs-power-2024-03,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000213,obs-power-2024-03,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000214,obs-power-2024-03,period-2024-03,AT_TIME,观测统计期,,,,
rel-000215,obs-power-2024-03,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000216,obs-power-2024-04,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000217,obs-power-2024-04,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000218,obs-power-2024-04,period-2024-04,AT_TIME,观测统计期,,,,
rel-000219,obs-power-2024-04,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000220,obs-power-2024-05,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000221,obs-power-2024-05,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000222,obs-power-2024-05,period-2024-05,AT_TIME,观测统计期,,,,
rel-000223,obs-power-2024-05,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000224,obs-power-2024-06,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000225,obs-power-2024-06,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000226,obs-power-2024-06,period-2024-06,AT_TIME,观测统计期,,,,
rel-000227,obs-power-2024-06,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000228,obs-power-2024-07,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000229,obs-power-2024-07,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000230,obs-power-2024-07,period-2024-07,AT_TIME,观测统计期,,,,
rel-000231,obs-power-2024-07,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000232,obs-power-2024-08,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000233,obs-power-2024-08,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000234,obs-power-2024-08,period-2024-08,AT_TIME,观测统计期,,,,
rel-000235,obs-power-2024-08,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000236,obs-power-2024-09,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000237,obs-power-2024-09,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000238,obs-power-2024-09,period-2024-09,AT_TIME,观测统计期,,,,
rel-000239,obs-power-2024-09,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000240,obs-power-2024-10,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000241,obs-power-2024-10,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000242,obs-power-2024-10,period-2024-10,AT_TIME,观测统计期,,,,
rel-000243,obs-power-2024-10,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000244,obs-power-2024-11,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000245,obs-power-2024-11,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000246,obs-power-2024-11,period-2024-11,AT_TIME,观测统计期,,,,
rel-000247,obs-power-2024-11,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000248,obs-power-2024-12,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000249,obs-power-2024-12,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000250,obs-power-2024-12,period-2024-12,AT_TIME,观测统计期,,,,
rel-000251,obs-power-2024-12,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000252,obs-power-2025-01,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000253,obs-power-2025-01,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000254,obs-power-2025-01,period-2025-01,AT_TIME,观测统计期,,,,
rel-000255,obs-power-2025-01,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000256,obs-power-2025-02,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000257,obs-power-2025-02,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000258,obs-power-2025-02,period-2025-02,AT_TIME,观测统计期,,,,
rel-000259,obs-power-2025-02,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000260,obs-power-2025-03,indicator-power-total,MEASURES,观测对应指标,,,,
rel-000261,obs-power-2025-03,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000262,obs-power-2025-03,period-2025-03,AT_TIME,观测统计期,,,,
rel-000263,obs-power-2025-03,source-electricity-xlsx,FROM_SOURCE,数据来源,,,,
rel-000264,obs-gdp-primary-1997-Q1,indicator-gdp-primary,MEASURES,观测对应指标,,,,
rel-000265,obs-gdp-primary-1997-Q1,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000266,obs-gdp-primary-1997-Q1,period-1997-Q1,AT_TIME,观测统计期,,,,
rel-000267,obs-gdp-primary-1997-Q1,source-primary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000268,obs-gdp-secondary-1997-Q1,indicator-gdp-secondary,MEASURES,观测对应指标,,,,
rel-000269,obs-gdp-secondary-1997-Q1,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000270,obs-gdp-secondary-1997-Q1,period-1997-Q1,AT_TIME,观测统计期,,,,
rel-000271,obs-gdp-secondary-1997-Q1,source-secondary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000272,obs-gdp-tertiary-1997-Q1,indicator-gdp-tertiary,MEASURES,观测对应指标,,,,
rel-000273,obs-gdp-tertiary-1997-Q1,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000274,obs-gdp-tertiary-1997-Q1,period-1997-Q1,AT_TIME,观测统计期,,,,
rel-000275,obs-gdp-tertiary-1997-Q1,source-tertiary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000276,obs-gdp-primary-1997-Q2,indicator-gdp-primary,MEASURES,观测对应指标,,,,
rel-000277,obs-gdp-primary-1997-Q2,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000278,obs-gdp-primary-1997-Q2,period-1997-Q2,AT_TIME,观测统计期,,,,
rel-000279,obs-gdp-primary-1997-Q2,source-primary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000280,obs-gdp-secondary-1997-Q2,indicator-gdp-secondary,MEASURES,观测对应指标,,,,
rel-000281,obs-gdp-secondary-1997-Q2,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000282,obs-gdp-secondary-1997-Q2,period-1997-Q2,AT_TIME,观测统计期,,,,
rel-000283,obs-gdp-secondary-1997-Q2,source-secondary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000284,obs-gdp-tertiary-1997-Q2,indicator-gdp-tertiary,MEASURES,观测对应指标,,,,
rel-000285,obs-gdp-tertiary-1997-Q2,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000286,obs-gdp-tertiary-1997-Q2,period-1997-Q2,AT_TIME,观测统计期,,,,
rel-000287,obs-gdp-tertiary-1997-Q2,source-tertiary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000288,obs-gdp-primary-1997-Q3,indicator-gdp-primary,MEASURES,观测对应指标,,,,
rel-000289,obs-gdp-primary-1997-Q3,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000290,obs-gdp-primary-1997-Q3,period-1997-Q3,AT_TIME,观测统计期,,,,
rel-000291,obs-gdp-primary-1997-Q3,source-primary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000292,obs-gdp-secondary-1997-Q3,indicator-gdp-secondary,MEASURES,观测对应指标,,,,
rel-000293,obs-gdp-secondary-1997-Q3,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000294,obs-gdp-secondary-1997-Q3,period-1997-Q3,AT_TIME,观测统计期,,,,
rel-000295,obs-gdp-secondary-1997-Q3,source-secondary-xlsx,FROM_SOURCE,数据来源,,,,
rel-000296,obs-gdp-tertiary-1997-Q3,indicator-gdp-tertiary,MEASURES,观测对应指标,,,,
rel-000297,obs-gdp-tertiary-1997-Q3,region-zhejiang,OBSERVED_IN,观测空间范围,,,,
rel-000298,obs-gdp-tertiary-1997-Q3,period-1997-Q3,AT_TIME,观测统计期,,,,
